Galaxy,Resolution,Rerun,VirialMass_10^10Msun,VirialRadius_kpc,SubhaloStellarMass_10^10Msun,SubhaloGasMass_10^10Msun,SubhaloBaryonMass_10^10Msun,DiscToTotal,DiscRadius_kpc,DiscHeight_kpc
1,4,0,93.4,206.0,3.0,8.8,11.8,0.76,19.7,2.7
2,4,0,191.4,261.7,9.4,12.5,21.9,0.81,33.7,3.1
3,4,0,145.8,239.0,8.7,9.7,18.5,0.74,23.6,2.5
4,4,0,140.9,236.3,8.8,12.8,21.6,0.38,21.8,3.6
5,4,0,118.6,223.1,7.1,8.5,15.6,0.63,12.8,2.0
6,4,0,104.4,213.8,5.4,6.8,12.2,0.80,21.1,2.5
7,4,0,112.0,218.9,5.9,11.6,17.5,0.60,21.7,3.2
8,4,0,108.1,216.3,4.0,9.5,13.4,0.84,29.2,3.5
9,4,0,105.0,214.2,6.3,6.6,12.9,0.66,12.0,1.9
10,4,0,104.7,214.0,6.2,8.6,14.8,0.73,8.4,1.6
11,4,0,164.9,249.0,6.4,8.8,15.3,0.62,19.3,2.5
12,4,0,109.3,217.1,6.6,8.8,15.4,0.68,14.9,2.6
13,4,0,118.9,223.3,6.7,10.0,16.7,0.68,12.3,2.4
14,4,0,165.7,249.4,11.7,14.1,25.8,0.61,17.7,2.8
15,4,0,122.2,225.4,4.3,9.3,13.7,0.69,19.2,3.0
16,4,0,150.3,241.4,7.0,10.4,17.4,0.88,31.1,3.1
17,4,0,102.8,212.7,7.9,6.1,14.0,0.76,11.8,1.8
18,4,0,122.1,225.3,8.4,7.1,15.5,0.80,14.0,2.0
19,4,0,120.9,224.5,6.2,9.7,15.8,0.47,22.0,3.1
20,4,0,124.9,227.0,5.6,14.2,19.8,0.72,24.1,3.3
21,4,0,145.1,238.6,8.7,11.8,20.5,0.80,18.6,2.9
22,4,0,92.6,205.5,6.2,3.6,9.8,0.69,7.9,1.6
23,4,0,157.5,245.2,9.8,9.8,19.6,0.77,18.0,1.6
24,4,0,149.2,240.8,7.7,10.5,18.2,0.69,25.0,2.9
25,4,0,122.1,225.3,3.7,7.9,11.6,0.86,22.8,2.9
26,4,0,156.4,244.6,11.4,12.9,24.3,0.71,10.7,1.8
27,4,0,174.5,253.8,10.3,12.5,22.8,0.71,17.2,2.4
28,4,0,160.5,246.8,11.0,12.3,23.3,0.59,10.8,2.2
29,4,0,154.2,243.5,10.4,8.7,19.1,0.12,18.1,3.7
30,4,0,110.8,218.1,5.4,9.9,15.3,0.41,23.8,3.0
