SnapshotNumber,Time_Gyr,LookbackTime_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,MainHaloIdx,MainSubhaloIdx
0,0.0507387,13.7697911,47.9183788,0.0204422,,,0,0
1,0.0664713,13.7540585,39.8577842,0.0244751,,,0,0
2,0.0828555,13.7376743,34.2762427,0.0283477,,,0,0
3,0.1010993,13.7194305,29.8932287,0.0323696,,,0,0
4,0.1199023,13.7006275,26.5724632,0.0362681,,,0,0
5,0.1401951,13.6803347,23.8429678,0.0402528,,,0,0
6,0.1616084,13.6589214,21.5968047,0.044254,,,0,0
7,0.1836627,13.6368671,19.7494329,0.0481941,,,0,0
8,0.2072481,13.6132817,18.1435842,0.0522368,,,0,0
9,0.2305611,13.5899687,16.8301879,0.0560847,,,0,0
10,0.2564957,13.5640341,15.6069006,0.0602159,,,0,0
11,0.2813199,13.5392099,14.6148169,0.0640417,,,0,0
12,0.3085455,13.5119843,13.6819996,0.0681106,,,0,0
13,0.3360086,13.4845212,12.8704752,0.0720956,,,0,0
14,0.363324,13.4572058,12.1660438,0.075953,,,0,0
15,0.3928584,13.4276714,11.497388,0.0800167,,,0,0
16,0.4217845,13.3987453,10.9190332,0.0838994,,,0,0
17,0.4528384,13.3676914,10.3674436,0.0879705,,,0,0
18,0.4827349,13.3377949,9.8928722,0.0918032,,,0,0
19,0.5146027,13.3059271,9.4381133,0.0958028,,,0,0
20,0.5485713,13.2719585,9.0023399,0.0999766,,,0,0
21,0.5806405,13.2398893,8.6302825,0.1038391,,,0,0
22,0.6145811,13.2059487,8.2720646,0.1078508,,,0,0
23,0.6458995,13.1746303,7.9695715,0.111488,,,0,0
24,0.6836465,13.1368833,7.6359301,0.1157953,,,0,0
25,0.718476,13.1020538,7.3541903,0.1197004,,,0,0
26,0.7550751,13.0654547,7.081642,0.1237372,,,0,0
27,0.7879218,13.032608,6.8551173,0.1273055,,,0,0
28,0.8280472,12.9924826,6.5988508,0.1315988,,,0,0
29,0.8640572,12.9564726,6.3858585,0.1353939,,,0,0
30,0.901627,12.9189028,6.1788363,0.1392983,70.2851296,1.1449313,0,0
31,0.9408236,12.8797062,5.9776168,0.1433154,74.2086018,1.3482795,0,0
32,0.9817162,12.8388136,5.7820374,0.1474483,76.3174338,1.4674415,0,0
33,1.0171413,12.8033885,5.6232488,0.1509833,79.9082959,1.6853981,0,0
34,1.0613336,12.7591962,5.4376022,0.1553373,82.6409231,1.8656477,0,0
35,1.0996152,12.7209146,5.2868779,0.1590615,80.5994838,1.7318341,0,0
36,1.1392691,12.6812607,5.1396825,0.1628749,85.9126701,2.0985303,0,0
37,1.188733,12.6317968,4.9675901,0.1675718,88.6617552,2.3087437,0,0
38,1.2228878,12.597642,4.85555,0.1707782,96.49366,2.9776943,0,0
39,1.266954,12.5535758,4.7184534,0.1748725,105.0802535,3.8488766,0,0
40,1.312595,12.5079348,4.5845666,0.1790649,109.3592196,4.3425029,0,0
41,1.3598656,12.4606642,4.4538145,0.1833579,112.5326261,4.7355805,0,0
42,1.3988933,12.4216365,4.3514204,0.1868663,115.2554356,5.0917987,0,0
43,1.4492409,12.3712889,4.226127,0.1913463,119.5659983,5.6913569,0,0
44,1.4908067,12.3297231,4.1280077,0.1950075,122.0050548,6.0515209,0,0
45,1.5335512,12.2869786,4.0317306,0.1987388,128.0801199,7.0090144,0,0
46,1.5775065,12.2430233,3.9372611,0.2025414,131.3148394,7.5603794,0,0
47,1.6227057,12.1978241,3.8445652,0.2064169,133.3567735,7.9279275,0,0
48,1.6691826,12.1513472,3.7536096,0.2103665,135.7235119,8.3672531,0,0
49,1.7169719,12.1035579,3.6643618,0.2143916,138.4906819,8.9003087,0,0
50,1.7661089,12.0544209,3.5767895,0.2184938,140.8005268,9.3651036,0,0
51,1.8166298,12.0039,3.4908614,0.2226744,144.4849637,10.1322119,0,0
52,1.8685717,11.9519581,3.4065465,0.2269351,148.0960931,10.9261103,0,0
53,1.9084833,11.9120465,3.3443509,0.230184,152.8899816,12.0362311,0,0
54,1.9630035,11.8575263,3.2627867,0.2345883,159.9108868,13.7931238,0,0
55,2.0190508,11.801479,3.1827539,0.2390769,162.8384141,14.5882,0,0
56,2.0621126,11.7584172,3.123717,0.2424997,164.8140768,15.1467629,0,0
57,2.1060731,11.7144567,3.0655133,0.2459714,166.8209622,15.7275755,0,0
58,2.1661155,11.6544143,2.9891842,0.2506778,171.623338,17.1568796,0,0
59,2.2122417,11.6082881,2.9328794,0.2542666,176.0325601,18.5411174,0,0
60,2.2593261,11.5612037,2.8773692,0.2579068,179.5156104,19.6947931,0,0
61,2.3236275,11.4969023,2.8045726,0.2628416,187.5382707,22.5040767,0,0
62,2.3730193,11.4475105,2.7508734,0.2666046,192.0005055,24.1901369,0,0
63,2.4234315,11.3970983,2.6979321,0.2704214,194.7283613,25.280019,0,0
64,2.4748833,11.3456465,2.6457381,0.2742929,197.1962328,26.3037477,0,0
65,2.527394,11.2931358,2.5942808,0.2782198,198.9181668,27.0509122,0,0
66,2.5809834,11.2395464,2.5435498,0.2822029,200.0800044,27.584618,0,0
67,2.6356714,11.1848584,2.4935348,0.286243,200.970622,28.0136546,0,0
68,2.6914781,11.1290517,2.4442257,0.290341,201.4139848,28.2591417,0,0
69,2.7484239,11.0721059,2.3956126,0.2944977,201.764537,28.4715872,0,0
70,2.8065294,11.0140004,2.3476856,0.2987138,202.3659925,28.7966526,0,0
71,2.8459209,10.9746089,2.3161107,0.3015581,201.8516528,28.6229367,0,0
72,2.9060054,10.9145244,2.2693059,0.3058753,200.5391985,28.1430712,0,0
