SnapshotNumber,Time_Gyr,Redshift,ExpansionFactor,VirialRadius_ckpc,VirialMass_1E10Msun,LookbackTime_Gyr,MainHaloIdx,MainSubhaloIdx
0,0.052574206943906736,46.773047305320475,0.020932305063332855,,,13.76795559221974,0,0
1,0.05644686607335026,44.5622037875765,0.02194801648889229,,,13.7640829330903,0,0
2,0.0606047835659449,42.45367379881285,0.023013013919833868,,,13.759925015597705,0,0
3,0.06460813920762512,40.639556931125924,0.02401562537406568,,,13.755921659956028,0,0
4,0.06936720898805346,38.71255939348594,0.02518095069349849,,,13.751162590175595,0,0
5,0.07447682531631586,36.87473954609402,0.026402821827539905,,,13.746052973847338,0,0
6,0.07996280681807971,35.12197041925631,0.027683982584374985,,,13.740566992345569,0,0
7,0.08524485123604453,33.61393967978289,0.028890094836100794,,,13.735284947927608,0,0
8,0.09152397819379612,32.012074015330995,0.03029194710806702,,,13.729005820969851,0,0
9,0.09826560419888633,30.48433957173081,0.031761822340967284,,,13.722264194964767,0,0
10,0.10550379040924024,29.027305700566,0.03330302125578822,,,13.715026008754409,0,0
11,0.11327510527286284,27.63770051714242,0.03491900473648028,,,13.707254693890786,0,0
12,0.12075750329840515,26.44212529833701,0.03644032629136781,,,13.699772295865245,0,0
13,0.1296523076938389,25.172157225310418,0.0382085432007464,,,13.690877491469813,0,0
14,0.1392022300261748,23.960960799485807,0.04006256041316325,,,13.681327569137476,0,0
15,0.14945550683208045,22.805816183578962,0.042006541270775286,,,13.67107429233157,0,0
16,0.15932754677045352,21.811963905687904,0.0438366466006314,,,13.661202252393196,0,0
17,0.1710630064891351,20.756270677546638,0.0459637598199236,,,13.649466792674515,0,0
18,0.1836627196673955,19.749432874416154,0.04819408829399815,,,13.636867079496255,0,0
19,0.19719030166340928,18.78918956244812,0.05053264040168657,,,13.623339497500243,0,0
20,0.21021479315809666,17.963024604582767,0.052734203580494826,,,13.610315006005552,0,0
21,0.225697604320814,17.085452785562712,0.05529305856241997,,,13.594832194842837,0,0
22,0.2423204489752072,16.24849327990495,0.05797607847666511,,,13.578209350188446,0,0
23,0.2601671962363403,15.45026662890206,0.060789288256462924,,,13.560362602927313,0,0
24,0.27734997406550244,14.763496016419266,0.06343770436192578,,,13.543179825098147,0,0
25,0.2977755904380301,14.033992144452483,0.06651593205527903,,,13.522754208725619,0,0
