,Median[Fe/H],AgeBinCenters_Gyr,Median[Fe/H]_H,Median[Fe/H]_B,Median[Fe/H]_CD,Median[Fe/H]_WD
0,0.23676285763957994,0.5,-0.1295468382740106,0.6375212556617518,0.18752779613703296,0.42044576233600806
1,0.20003092628342323,1.5,-0.08954820212338577,0.6158821221094293,0.16002447648013174,0.2887532922492513
2,0.15958028711874306,2.5,-0.10885731297441836,0.49976701618900377,0.13425817991944644,0.23223043050561465
3,0.13907443603687586,3.5,-0.17567269707311928,0.4509432188277511,0.10847112352491273,0.18277737611365197
4,0.07997244941065551,4.5,-0.23919796888417455,0.39661885403124764,0.05627502616635072,0.10540438571204325
5,0.024059231461544428,5.5,-0.3132726558135781,0.31953470413292484,0.0055941349641877025,0.032559414206110304
6,-0.018639507998837512,6.5,-0.37553084553288585,0.2823407940972915,-0.0424422562892941,-0.014084355985730213
7,-0.08533924026309148,7.5,-0.4068074182635799,0.15722100344863588,-0.09508227143081927,-0.07641891191741212
8,-0.15591178046392296,8.5,-0.4898101016943106,0.07529977791108777,-0.16164308935298077,-0.14088875110601462
9,-0.24769190495881155,9.5,-0.5493766512952587,-0.06871326467602135,-0.21693593756255947,-0.21798299760544193
10,-0.43584020897772247,10.5,-0.7218699183340278,-0.25277815567016937,-0.38074742098604286,-0.39563203210700504
11,-0.6381508655925128,11.5,-0.9685110670008434,-0.4463443078382152,-0.5897773345666852,-0.6002968190731846
12,-0.9627926731641265,12.5,-1.35777365625417,-0.7141267117854189,-0.9531973532952542,-0.9499647548514041
13,-1.7736708789271916,13.5,-2.120524187620199,-1.4982652996132355,-1.764743573476018,-1.7640136592793865
