,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.28323533848273236,-0.28323533848273236,-0.28323533848273236,0.28323533848273236,0.28323533848273236,0.28323533848273236,0.6180084595029873,0.6180084595029873,0.6180084595029873,0.886039893912982,0.886039893912982,0.886039893912982
41,0.9080449696290195,0.13995994787469493,-0.27716726408839776,-0.5789033769528242,0.02456884877602869,0.44372957774180366,0.25525583816169317,0.6322033173219141,-0.11204745123114584,-0.6351386419263534,0.4110437394640617,0.2468386116716043,-0.23270610571346909,0.7263833290566777
42,0.9678924784861273,0.14605760406878063,-0.5678251180343907,-0.7902780374785594,-0.4736475059063362,0.5678251180343907,0.4736475059063362,0.7902780374785594,-0.461067634836776,-0.7250927727695157,0.3417105877335185,-0.17325442235371669,-0.5517548170271113,0.4955729013754767
43,1.0390037466243902,0.15314484920464314,-0.18449774914181463,-0.5177067409414223,-0.034973826489438156,0.18449774914181463,0.10750513790730035,0.5177067409414222,0.3017212940966839,-0.6756174308891825,0.7567382289649478,0.13174960628211654,-0.28204829761248357,0.9229333928559755
