,Time_Gyr,ExpansionFactor,zPositionMedian_kpc,zPosition16thPercentile_kpc,zPosition84thPercentile_kpc,zPositionAbsMedian_kpc,zPositionAbs16thPercentile_kpc,zPositionAbs84thPercentile_kpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,
41,0.9080449696290195,0.13995994787469493,-0.3039488028279729,-0.3362049609607415,0.2901534494005826,0.32609616075237,0.2986019860413778,0.34331599940598556,0.6668953520269993,0.520067774573189,0.9002412375351704,0.9636132027573502,0.8241490459316402,1.1017893432660864
42,0.9678924784861273,0.14605760406878063,-0.2770779802644719,-0.4710915039983608,0.0008670389412872154,0.3099278921318679,0.20388557537624186,0.5259623907957293,0.8730510127778082,0.1962982812338847,0.9471777873254233,0.7565914290265014,0.05334845449611497,1.0328663779947986
43,1.0390037466243902,0.15314484920464314,-0.10493505805706439,-0.4540975527048741,0.3063249532676688,0.3076967404942852,0.08300636542271102,0.6757166370450239,0.8292865796873574,-0.6233148918638979,0.9615230045367572,0.6424841313004939,-0.43713671302232493,0.9623382625527553
44,1.115309430693374,0.1605759932010687,-0.19048886566872764,-0.8192793928226864,0.16253894868027127,0.46107453891169276,0.09493099611858198,0.8201528198310907,0.20472987647378554,-0.8370459443765704,0.9142530957884769,0.056843278166893774,-0.22378921122395581,0.9155957223657378
