SnapshotNumber,Time_Gyr,StellarMassInR200_Msun,StellarMassIn0.5R200_Msun,StellarMassIn0.3R200_Msun
0,,,,
1,,,,
2,,,,
3,,,,
4,,,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,0.597,317223.0,109844.0,48224.0
36,0.641,7551973.0,1205970.0,255860.0
37,0.689,363208.0,171856.0,42438.0
38,0.734,543168.0,0.0,0.0
39,0.788,4826160.0,3878384.0,872168.0
40,0.846,989264.0,386080.0,53952.0
41,0.908,1804176.0,200816.0,41376.0
42,0.968,2782368.0,128768.0,50672.0
43,1.039,2200672.0,1163328.0,818176.0
44,1.115,19582400.0,189568.0,49088.0
45,1.197,3037536.0,232544.0,141856.0
46,1.285,2347904.0,708032.0,33344.0
47,1.37,2094144.0,343872.0,253504.0
48,1.47,3543744.0,210880.0,0.0
49,1.578,21629504.0,453184.0,52032.0
50,1.693,31851328.0,3905344.0,2903488.0
51,1.817,30445056.0,2602240.0,0.0
52,1.949,29062144.0,180352.0,0.0
53,2.091,158662272.0,117376.0,0.0
54,2.244,27072384.0,6000256.0,2234624.0
55,2.39,90828288.0,78475520.0,1852160.0
56,2.545,148993280.0,76191744.0,360192.0
57,2.691,265349632.0,28527360.0,17464832.0
58,2.846,242209024.0,229291520.0,40552448.0
59,2.988,302053376.0,282564352.0,48155904.0
60,3.137,324847616.0,24819712.0,9185792.0
61,3.293,307122176.0,4397056.0,96768.0
62,3.456,292155392.0,1891840.0,1067520.0
63,3.602,288331776.0,5189632.0,703488.0
64,3.754,294859264.0,186368.0,46080.0
65,3.911,289627136.0,10088960.0,0.0
66,4.047,261715968.0,252453888.0,8262656.0
67,4.217,176924160.0,162732032.0,162583552.0
68,4.362,169180672.0,130970624.0,794112.0
69,4.513,198899712.0,159911936.0,0.0
70,4.668,180063232.0,136678400.0,102376448.0
71,4.827,60758016.0,40437760.0,13326336.0
72,4.992,79038464.0,60221440.0,18154496.0
73,5.127,62596096.0,11741184.0,7818240.0
74,5.301,5226593280.0,5038462976.0,1794491392.0
75,5.444,47526912.0,2981888.0,1060864.0
76,5.59,46064640.0,1948672.0,1909760.0
77,5.739,91375616.0,2448384.0,30720.0
78,5.93,491730944.0,578560.0,578560.0
79,6.087,3382345728.0,328916992.0,546816.0
80,6.207,3503282176.0,409978880.0,202391552.0
81,6.37,3550462976.0,3516704768.0,343683072.0
82,6.537,516388864.0,484546560.0,23156736.0
83,6.707,2768943104.0,375222272.0,59521024.0
84,6.836,2766485504.0,257988608.0,19255296.0
85,7.013,2855196672.0,2695774208.0,59885568.0
86,7.147,2879238144.0,2714394624.0,1999820800.0
87,7.33,2899750912.0,2727356416.0,203386880.0
88,7.469,3040479232.0,2740361216.0,121452544.0
89,7.658,3123113984.0,320856064.0,134785024.0
90,7.802,3095142400.0,286650368.0,8173568.0
91,7.948,3317405696.0,255682560.0,114155520.0
92,8.096,4339107840.0,235182080.0,105160704.0
93,8.296,4411666432.0,208019456.0,98846720.0
94,8.449,4441257984.0,1535047680.0,76851200.0
95,8.603,4262658048.0,1319108608.0,1221738496.0
96,8.76,4432420864.0,1340043264.0,1289375744.0
97,8.919,4619026432.0,1471066112.0,17256448.0
98,9.079,4629442560.0,1292705792.0,15294464.0
99,9.242,4650950656.0,185954304.0,5365760.0
100,9.407,4951986176.0,122605568.0,12529664.0
101,9.573,5006671872.0,3328454656.0,73060352.0
102,9.742,4996374528.0,4479172608.0,2442465280.0
103,9.855,4635619328.0,4255940608.0,2976931840.0
104,10.026,4693635072.0,4322750464.0,4254920704.0
105,10.2,3593797632.0,3260645376.0,69439488.0
106,10.375,3761295360.0,3426160640.0,117899264.0
107,10.552,3759439872.0,3420372992.0,105123840.0
108,10.671,3501559808.0,3416412160.0,92483584.0
109,10.852,4021288960.0,3339333632.0,24182784.0
110,11.034,4054847488.0,3324534784.0,899915776.0
111,11.156,4000612352.0,3238952960.0,3230887936.0
112,11.341,3130388480.0,2335944704.0,2327142400.0
113,11.527,3463282688.0,2493374464.0,2489434112.0
114,11.652,3796750336.0,2655326208.0,2630213632.0
115,11.842,5619589120.0,2735259648.0,2679799808.0
116,11.969,6941573120.0,2652024832.0,2614599680.0
117,12.161,5932150784.0,1462431744.0,1427415040.0
118,12.355,6031065088.0,1444462592.0,1404702720.0
119,12.485,6174744576.0,1582223360.0,1481043968.0
120,12.681,5523947520.0,2207092736.0,909959168.0
121,12.812,4740960256.0,1609965568.0,637968384.0
122,13.011,4837732352.0,624672768.0,591499264.0
123,13.145,4189876224.0,298799104.0,252043264.0
124,13.346,4175872000.0,227905536.0,217874432.0
125,13.481,4198412288.0,177262592.0,155602944.0
126,13.684,4181659648.0,94253056.0,26750976.0
127,13.821,4191760384.0,71733248.0,17436672.0
