Snapshot,Time_Gyr,Redshift,ExpansionFactor,Mass_Msun,Mass_H_Msun,Mass_B_Msun,Mass_CD_Msun,Mass_WD_Msun
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,0.4217845366394565,10.919033198155363,0.08389942232519026,403018.03125,233052.640625,169965.421875,0.0,0.0
31.0,0.4528384166734556,10.367443572408746,0.08797052684978504,549796.625,260970.90625,235401.84375,0.0,53423.86328125
32.0,0.48617612343955924,9.841380439471834,0.09223917614394847,788157.3125,224631.390625,285120.34375,102744.890625,175660.65625
33.0,0.5182708119307342,9.388771271940549,0.09625777426642748,1687144.75,946504.25,449905.78125,0.0,290734.78125
34.0,0.5564188833159369,8.907999185598532,0.1009285508878038,3730154.0,1023405.875,1721090.5,334055.65625,651602.1875
35.0,0.5973702376945801,8.449476294368743,0.10582597054568338,5855776.0,1685513.875,3100768.0,260981.6875,808511.875
36.0,0.6413297674084788,8.012172948865935,0.11096103078290759,7355075.5,1672084.375,4369292.0,448719.21875,864980.0
37.0,0.6885170787669509,7.5951071498715965,0.11634526278301709,9545488.0,1299840.75,6896114.5,381153.1875,968378.5
38.0,0.7339395587876801,7.23627606616736,0.1214140944240273,4874068.5,1932372.25,2492635.25,32463.61328125,416597.34375
39.0,0.787921774026992,6.855117262650799,0.12730554701643482,7411711.0,771789.625,3470359.5,1653803.75,1515758.25
40.0,0.8458612530579325,6.491597745667503,0.1334828742744916,12698820.0,2578051.75,8214854.5,504938.625,1400974.625
41.0,0.9080449696290195,6.144901203416368,0.13995994787469493,22963382.0,1999257.375,12644382.0,1993916.25,6325827.0
42.0,0.9678924784861273,5.846613747881867,0.14605760406878063,31821274.0,2969900.5,10321638.0,7020197.0,11509538.0
43.0,1.0390037466243902,5.5297658079491026,0.15314484920464314,49263876.0,4773381.5,23841944.0,7690290.5,12958261.0
44.0,1.115309430693374,5.227580973127337,0.1605759932010687,75792688.0,17235040.0,38181608.0,5423822.5,14952226.0
45.0,1.197181863756146,4.939380663491011,0.1683677232791182,110551488.0,27108240.0,53980740.0,8598300.0,20864214.0
46.0,1.2850184010331818,4.664517702470927,0.1765375363843931,140132368.0,33475526.0,69629800.0,11012086.0,26014958.0
47.0,1.3695201902147043,4.428033736605549,0.18422877390319162,160610288.0,30426924.0,86111376.0,14121125.0,29950852.0
48.0,1.469878490582777,4.176834914726472,0.19316822276007173,186228064.0,37105496.0,105563200.0,12242154.0,31317200.0
49.0,1.577506484958674,3.9372610847275835,0.20254144612552438,223628832.0,42864592.0,130446960.0,15534920.0,34782360.0
50.0,1.6929110344480442,3.7087742646422353,0.21236949231329916,279087264.0,57600344.0,156025472.0,18932024.0,46529400.0
