CylindricalRadius_ckpc,SurfaceDensity_Type0_Msun/ckpc^2,SurfaceDensity_Type4_Msun/ckpc^2,SurfaceDensity_Type4_H_Msun/ckpc^2,SurfaceDensity_Type4_B_Msun/ckpc^2,SurfaceDensity_Type4_CD_Msun/ckpc^2,SurfaceDensity_Type4_WD_Msun/ckpc^2
0.25,41.3231,1574.0598,1.4801,1033.203,189.8207,349.5561
0.75,56.4631,939.0421,1.1468,502.1561,167.7399,267.9993
1.25,34.5802,432.0705,1.0366,200.9072,99.3068,130.8199
1.75,17.7387,278.9378,1.1146,119.8099,76.4082,81.6051
2.25,14.9963,215.5081,1.1442,84.7355,65.3205,64.308
2.75,15.4479,177.9179,0.9215,64.7871,58.6625,53.5469
3.25,15.487,150.8903,1.0603,50.3345,55.8195,43.6759
3.75,17.5593,130.3773,1.128,38.5833,54.1163,36.5497
4.25,19.0613,114.7382,1.0424,32.183,50.3049,31.2079
4.75,20.7064,100.2152,0.9646,26.9225,45.9152,26.4129
5.25,21.75,88.1782,1.1679,23.0449,41.1554,22.81
5.75,24.7732,76.3353,1.1169,19.3556,36.9429,18.9199
6.25,26.539,68.418,1.2672,16.577,34.2279,16.3458
6.75,27.6569,61.0973,1.1186,13.7017,31.8706,14.4064
7.25,29.8228,54.606,1.1737,12.0472,28.9305,12.4545
7.75,30.3354,48.0885,1.1193,10.3172,25.9687,10.6833
8.25,29.7478,42.031,1.1665,8.6122,23.1089,9.1434
8.75,27.941,35.8224,1.2976,7.4859,19.263,7.7759
9.25,25.9716,31.5524,1.2259,6.4061,17.4683,6.4521
9.75,23.5622,28.0588,1.3155,5.6187,15.4567,5.6678
10.25,21.2418,25.1611,1.3778,4.7515,14.1853,4.8465
10.75,20.4348,23.0026,1.4537,4.0495,13.156,4.3435
11.25,19.9939,21.0493,1.5313,3.4052,12.2318,3.881
11.75,19.9839,19.483,1.703,2.7853,11.5264,3.4683
12.25,19.3874,17.6695,1.8172,2.3401,10.3311,3.1811
12.75,19.7802,16.3111,1.9305,1.8041,9.6153,2.9611
13.25,19.6942,15.2471,2.3502,1.1799,8.9384,2.7788
13.75,19.4744,13.6988,2.7898,0.357,8.024,2.5279
14.25,18.7883,12.4472,2.9388,0.0064,7.182,2.3201
14.75,18.6592,11.4603,2.7419,0.0,6.655,2.0634
15.25,19.1563,10.9056,2.5675,0.0,6.4643,1.8737
15.75,19.0324,10.0864,2.3422,0.0,6.018,1.7263
16.25,18.4529,9.5995,2.2322,0.0,5.822,1.5453
16.75,18.3691,8.9962,2.1273,0.0,5.5109,1.3581
17.25,18.3905,8.2605,1.8826,0.0,5.1751,1.2028
17.75,18.7713,7.7601,1.783,0.0,4.8599,1.1172
18.25,19.2375,7.1587,1.6912,0.0,4.3931,1.0744
18.75,19.3096,6.6239,1.5464,0.0,4.0476,1.0299
19.25,18.8394,5.9587,1.4769,0.0,3.509,0.9728
19.75,17.7575,5.199,1.3506,0.0,2.9375,0.9109
20.25,16.2173,4.7715,1.2798,0.0,2.696,0.7957
20.75,14.5382,4.2084,1.1421,0.0,2.3564,0.7098
21.25,13.3928,3.7738,1.1192,0.0,2.0035,0.6511
21.75,12.6465,3.3386,1.0705,0.0,1.7372,0.5309
22.25,11.6041,2.8959,0.9615,0.0,1.4338,0.5006
22.75,10.5627,2.6045,0.9636,0.0,1.238,0.4029
23.25,10.3802,2.2689,0.8648,0.0,1.0606,0.3435
23.75,10.4307,1.9809,0.8165,0.0,0.8637,0.3007
24.25,10.565,1.7931,0.7801,0.0,0.7616,0.2515
24.75,10.3286,1.5586,0.6948,0.0,0.6506,0.2132
25.25,10.0201,1.4496,0.6656,0.0,0.5692,0.2148
25.75,9.7086,1.2896,0.5875,0.0,0.5192,0.1829
26.25,9.4714,1.2406,0.6036,0.0,0.4576,0.1794
26.75,8.9341,1.0951,0.5253,0.0,0.4102,0.1596
27.25,8.5637,1.048,0.5355,0.0,0.3611,0.1515
27.75,8.2141,0.9579,0.4816,0.0,0.3309,0.1454
28.25,7.9257,0.9128,0.4449,0.0,0.2989,0.1691
28.75,7.5826,0.8053,0.4266,0.0,0.2356,0.1431
29.25,7.5001,0.7055,0.3847,0.0,0.1874,0.1334
29.75,7.013,0.6327,0.3593,0.0,0.1636,0.1097
30.25,6.5794,0.5934,0.3419,0.0,0.1337,0.1177
30.75,6.0727,0.5479,0.3163,0.0,0.1157,0.1159
31.25,5.7337,0.4964,0.3027,0.0,0.0896,0.1041
31.75,5.2166,0.4467,0.277,0.0,0.0762,0.0934
32.25,4.8452,0.4168,0.2646,0.0,0.0605,0.0917
32.75,4.603,0.4056,0.2653,0.0,0.0534,0.0869
33.25,4.2234,0.3904,0.2562,0.0,0.0454,0.0888
33.75,3.9344,0.3541,0.2424,0.0,0.0321,0.0797
34.25,3.5057,0.314,0.2106,0.0,0.0257,0.0776
34.75,3.2525,0.3084,0.2189,0.0,0.0186,0.0709
35.25,3.0928,0.2964,0.2206,0.0,0.0174,0.0583
35.75,2.91,0.2745,0.2048,0.0,0.0137,0.056
36.25,2.807,0.2671,0.2016,0.0,0.0145,0.0509
36.75,2.6017,0.2297,0.1818,0.0,0.0072,0.0407
37.25,2.3943,0.2184,0.1598,0.0,0.0104,0.0481
37.75,2.1961,0.2126,0.1609,0.0,0.0078,0.0439
38.25,2.0693,0.2393,0.1826,0.0,0.01,0.0467
38.75,1.9396,0.1953,0.1534,0.0,0.0089,0.033
39.25,1.8649,0.1868,0.1456,0.0,0.0092,0.032
39.75,1.7943,0.1986,0.1608,0.0,0.0061,0.0317
40.25,1.7837,0.1756,0.1388,0.0,0.0054,0.0315
40.75,1.6997,0.1685,0.1365,0.0,0.0028,0.0292
41.25,1.6254,0.1642,0.1294,0.0,0.0051,0.0297
41.75,1.5722,0.1568,0.131,0.0,0.0028,0.0229
42.25,1.4867,0.1435,0.1139,0.0,0.0052,0.0243
42.75,1.4599,0.1426,0.1146,0.0,0.0051,0.0228
43.25,1.385,0.1427,0.1137,0.0,0.0053,0.0237
43.75,1.395,0.1236,0.0985,0.0,0.0041,0.021
44.25,1.3541,0.1155,0.0922,0.0,0.0044,0.0189
44.75,1.2851,0.1164,0.0914,0.0,0.0047,0.0204
45.25,1.1739,0.1118,0.0866,0.0,0.0044,0.0208
45.75,1.136,0.1052,0.0818,0.0,0.0051,0.0184
46.25,1.0625,0.1126,0.0866,0.0,0.0038,0.0221
46.75,1.0478,0.0942,0.075,0.0,0.0056,0.0135
47.25,1.0404,0.0916,0.0681,0.0,0.0041,0.0193
47.75,1.0379,0.082,0.0634,0.0,0.0046,0.014
48.25,0.9982,0.0904,0.0682,0.0,0.0052,0.017
48.75,0.9467,0.0824,0.064,0.0,0.0053,0.0131
49.25,0.9469,0.078,0.0619,0.0,0.0033,0.0128
49.75,0.9705,0.0778,0.0599,0.0,0.0033,0.0145
