,GravPotential_(km/s)^2,SphericalRadius_ckpc
0,-121979.6172605611,0.0
1,-110113.3475201168,1.0
2,-100560.70901464998,2.0
3,-93369.89650640331,3.0
4,-87374.91684188573,4.0
5,-82160.13390816706,5.0
6,-77499.7931009575,6.0
7,-73218.68000304898,7.0
8,-69300.63681441243,8.0
9,-65640.41940284365,9.0
10,-62274.574638603,10.0
11,-59219.02919172802,11.0
12,-56305.60242549044,12.0
13,-53648.59844449627,13.0
14,-51155.922191206446,14.0
15,-48815.49405828709,15.0
16,-46612.486837289194,16.0
17,-44470.13519971638,17.0
18,-42500.548799372875,18.0
19,-40568.20924935646,19.0
20,-38773.27242154848,20.0
21,-36979.496090261564,21.0
22,-35340.4026004052,22.0
23,-33727.982757876714,23.0
24,-32253.07249863704,24.0
25,-30782.394044192904,25.0
26,-29394.65560807122,26.0
27,-28063.789907044506,27.0
28,-26791.719663055006,28.0
29,-25572.33423024413,29.0
30,-24387.012247735507,30.0
31,-23264.526822468302,31.0
32,-22163.00374768063,32.0
33,-21143.016935187094,33.0
34,-20108.854244299302,34.0
35,-19153.55654487039,35.0
36,-18213.622679775315,36.0
37,-17314.795951534525,37.0
38,-16430.77795256276,38.0
39,-15604.411604148172,39.0
40,-14773.648789606263,40.0
41,-13974.964470962255,41.0
42,-13234.076596895766,42.0
43,-12474.199463584639,43.0
44,-11762.08104344829,44.0
45,-11075.961893994252,45.0
46,-10425.524924020516,46.0
47,-9744.20518866645,47.0
48,-9104.051619266933,48.0
49,-8467.249110298295,49.0
50,-7856.531817652359,50.0
51,-7300.849152004708,51.0
52,-6703.511251662188,52.0
53,-6163.96565631456,53.0
54,-5613.030909681188,54.0
55,-5092.079865724752,55.0
56,-4597.465394219326,56.0
57,-4055.5743709076305,57.0
58,-3550.390704718378,58.0
59,-3080.9985400059727,59.0
60,-2601.1040916015972,60.0
61,-2120.923038609529,61.0
62,-1650.406705197801,62.0
63,-1197.405026139114,63.0
64,-789.3392001516876,64.0
65,-386.6646578625343,65.0
66,-35.067444397117434,66.0
67,271.1829453426683,67.0
68,487.8289066018944,68.0
69,581.2563138599058,69.0
70,441.6922332451985,70.0
71,221.91160868037142,71.0
72,1145.076927774639,72.0
73,2105.2193192977193,73.0
74,2735.6590453232984,74.0
75,3267.5942957287593,75.0
76,3709.724263250133,76.0
77,4122.805435037165,77.0
78,4507.568933328863,78.0
79,4800.35974290489,79.0
80,5166.1927583069255,80.0
81,5506.472432612781,81.0
82,5822.166491817633,82.0
83,6111.02663187855,83.0
84,6419.655839076965,84.0
85,6682.897965488699,85.0
86,7022.367288717686,86.0
87,7262.381346191986,87.0
88,7608.385319307766,88.0
89,7851.391974096876,89.0
90,8093.863385576094,90.0
91,8354.60131470526,91.0
92,8626.274176446728,92.0
93,8872.4248336332,93.0
94,9087.203536233532,94.0
95,9350.94827083257,95.0
96,9552.647118543464,96.0
97,9754.687081952638,97.0
98,10012.338853251147,98.0
99,10187.04629665546,99.0
100,10373.072581218332,100.0
101,10560.954294989511,101.0
102,10776.781904087851,102.0
103,10946.51567232436,103.0
104,11150.38690636972,104.0
105,11251.919370721154,105.0
106,11377.114031151123,106.0
107,11664.706113330925,107.0
108,11773.979168327065,108.0
109,11895.90923335284,109.0
110,11943.267385823996,110.0
111,11977.884436389208,111.0
112,12148.019993976222,112.0
113,12272.597202308423,113.0
114,12309.574741747092,114.0
115,12309.991184299359,115.0
116,12427.885575163571,116.0
117,12512.687701043196,117.0
118,12488.408833336169,118.0
119,12382.99909497237,119.0
120,12451.35857214845,120.0
121,12442.782812667372,121.0
122,12242.996085085673,122.0
123,12121.646776220243,123.0
124,12035.550485065589,124.0
125,11728.41070093051,125.0
126,11466.361325310725,126.0
127,11204.580281567254,127.0
128,10637.902908171183,128.0
129,10312.534503236799,129.0
130,9427.87821680905,130.0
131,8484.212440691615,131.0
132,7425.2133457151685,132.0
133,6056.170905102755,133.0
134,3701.831828720731,134.0
135,781.9836221682116,135.0
136,-2890.877325525605,136.0
137,-8634.342059712055,137.0
138,-9364.428672052782,138.0
139,-3494.841704992159,139.0
140,585.8007565356522,140.0
141,3378.8844548784823,141.0
142,6126.118065893008,142.0
143,7853.591475834555,143.0
144,9393.82841691024,144.0
145,10529.000552636364,145.0
146,11541.972271699722,146.0
147,12638.24741754777,147.0
148,13411.008660513708,148.0
149,14184.829377986272,149.0
150,14687.591140065462,150.0
151,15134.201604990667,151.0
152,15562.417547619358,152.0
153,16116.262174053862,153.0
154,16509.525226137135,154.0
155,17039.735858356904,155.0
156,17149.262261079795,156.0
157,17409.233957773136,157.0
158,17933.949026476854,158.0
159,18382.502624335673,159.0
160,18688.016620500097,160.0
161,19164.090377563414,161.0
162,19500.211363109072,162.0
163,19773.228737600984,163.0
164,20053.650103206586,164.0
165,20311.613021117042,165.0
166,20705.785518587043,166.0
167,21098.74175644424,167.0
168,21378.11751917783,168.0
169,21784.02061305065,169.0
170,22016.30068461357,170.0
171,22248.058780019055,171.0
172,22387.648823607527,172.0
173,22507.0837138536,173.0
174,22875.899462950732,174.0
175,23130.2080110219,175.0
176,23329.40814031704,176.0
177,23635.51834732427,177.0
178,23835.381075286004,178.0
179,24038.69447401299,179.0
180,24230.419599053148,180.0
181,24499.502410924513,181.0
182,24768.24336235335,182.0
183,25086.914947450998,183.0
184,25269.42590089417,184.0
185,25496.830092681186,185.0
186,25584.27902359441,186.0
187,25823.609762196502,187.0
188,25993.958520345976,188.0
189,26216.7297830685,189.0
190,26304.595356978374,190.0
191,26340.951632764976,191.0
192,26648.15601480491,192.0
193,26886.667502003205,193.0
194,27043.06405880577,194.0
195,27181.38863128637,195.0
196,27423.379012625377,196.0
197,27542.120279551236,197.0
198,27649.19300466856,198.0
199,27848.559233388754,199.0
200,28005.816774792802,200.0
201,28144.624802223327,201.0
202,28242.809959270384,202.0
203,28365.71886743542,203.0
204,28346.775569463818,204.0
205,28545.962045455344,205.0
206,28749.700339480893,206.0
207,28973.346964926113,207.0
208,29165.162456628048,208.0
209,29288.31590799206,209.0
210,29399.966798965146,210.0
211,29446.5270669709,211.0
212,29624.227957897176,212.0
213,29766.29102903095,213.0
214,29881.483727422637,214.0
215,29993.9316517266,215.0
216,30102.993038597855,216.0
217,30271.697206130113,217.0
218,30370.919344522667,218.0
219,30535.10730941052,219.0
220,30579.676351751245,220.0
221,30678.370343844985,221.0
222,30725.39157814899,222.0
223,30892.73360059715,223.0
224,31067.788480245737,224.0
225,31240.046819849234,225.0
226,31369.932647984217,226.0
227,31491.147888772357,227.0
228,31580.02763638563,228.0
229,31712.073835132414,229.0
230,31774.928024947276,230.0
231,31870.727745960197,231.0
232,31949.359166403177,232.0
233,32116.01494375442,233.0
234,32149.153016982047,234.0
235,32272.0149226843,235.0
236,32317.295249074476,236.0
237,32478.854439359962,237.0
238,32559.91942521496,238.0
239,32660.56994503668,239.0
240,32750.94769039115,240.0
241,32809.21963380002,241.0
242,32847.902620042914,242.0
243,32924.82050476613,243.0
244,33084.91118281721,244.0
245,33198.45444639653,245.0
246,33246.38079488933,246.0
247,33396.884896832424,247.0
248,33417.02474702672,248.0
249,33493.460275476406,249.0
250,33612.8179579728,250.0
251,33713.46818254674,251.0
252,33816.29907363134,252.0
253,33858.79184092154,253.0
254,33929.30449901526,254.0
255,34044.91168713046,255.0
256,34142.330595820786,256.0
257,34175.966603354354,257.0
258,34237.024876300005,258.0
259,34236.43790932244,259.0
260,34323.47832513776,260.0
261,34367.22389564963,261.0
262,34354.96224454129,262.0
263,34392.202961773924,263.0
264,34426.67226520087,264.0
265,34238.12690140389,265.0
266,34158.48991509122,266.0
267,33934.50255314957,267.0
268,33634.13698231876,268.0
269,33380.63930603722,269.0
270,33450.26115646265,270.0
271,33633.70235242402,271.0
272,33681.83402265685,272.0
273,33669.01420300128,273.0
274,33518.66663342234,274.0
275,33257.520064291864,275.0
276,32779.13894178776,276.0
277,31972.765305378343,277.0
278,30407.091860190172,278.0
279,28912.825640889358,279.0
280,28944.530397253337,280.0
281,30894.058851173893,281.0
282,32589.85060889955,282.0
283,33520.19158312168,283.0
284,34053.96750285313,284.0
285,34636.99061843837,285.0
286,35165.889794497045,286.0
287,35410.10705154813,287.0
288,35687.54034264797,288.0
289,35923.87717348946,289.0
290,36130.85153279689,290.0
291,36315.258019906505,291.0
292,36581.726147244066,292.0
293,36629.30393724825,293.0
294,36748.14966424836,294.0
295,36901.163098753284,295.0
296,36985.7873993329,296.0
297,37080.09411153099,297.0
298,37371.95381358225,298.0
299,37426.71242211222,299.0
300,37458.24188889431,300.0
301,37385.397709669975,301.0
302,37594.97885520943,302.0
303,37681.507234164696,303.0
304,37922.41374006553,304.0
305,38003.548469898684,305.0
306,38033.81351516634,306.0
307,38218.15338933951,307.0
308,38162.772542287035,308.0
309,38303.975877747835,309.0
310,38288.90040506585,310.0
311,38391.24359941555,311.0
312,38493.12546862906,312.0
313,38600.16941769074,313.0
314,38693.187947814855,314.0
315,38830.89417352056,315.0
316,39061.42218306388,316.0
317,39044.60736163627,317.0
318,39034.84482000469,318.0
319,39027.876101123016,319.0
320,39139.13053784913,320.0
321,39181.16471977044,321.0
322,39186.377397862554,322.0
323,39256.70646356834,323.0
324,39333.338805598585,324.0
325,39448.47463582131,325.0
326,39503.43734832622,326.0
327,39554.73594407857,327.0
328,39651.73136147871,328.0
329,39702.45148016896,329.0
330,39867.85315294144,330.0
331,39916.57186794582,331.0
332,39867.27603341444,332.0
333,39894.56862262622,333.0
334,40017.124489735805,334.0
335,39955.473616618605,335.0
336,40115.45733782601,336.0
337,40217.8089039871,337.0
338,40312.01754823749,338.0
339,40297.28589003117,339.0
340,40464.466958305806,340.0
341,40433.87324199431,341.0
342,40673.542067164846,342.0
343,40568.24514293491,343.0
344,40789.37736539534,344.0
345,40941.471737878215,345.0
346,41006.5243257225,346.0
347,41159.33027908138,347.0
348,41184.83227412126,348.0
349,41222.92935380429,349.0
350,41347.462385716804,350.0
351,41474.60440784425,351.0
352,41496.68424935039,352.0
353,41568.55612301553,353.0
354,41547.73772360931,354.0
355,41657.38100376571,355.0
356,41633.54169069034,356.0
357,41587.962081093596,357.0
358,41679.1658805711,358.0
359,41594.20692142104,359.0
360,41679.78458899624,360.0
361,41805.49252766967,361.0
362,41932.86729312312,362.0
363,41844.77204697439,363.0
364,41891.25462054968,364.0
365,42103.701959950544,365.0
366,42164.350974787274,366.0
367,42209.62423150377,367.0
368,42194.54866966887,368.0
369,42425.79671948389,369.0
370,42491.11353416639,370.0
371,42512.348126361576,371.0
372,42570.967621172706,372.0
373,42529.675554021844,373.0
374,42663.07214703377,374.0
375,42677.412765110064,375.0
376,42732.17713229939,376.0
377,42807.50617338571,377.0
378,43004.6796077137,378.0
379,42879.97692526948,379.0
380,42879.57968772632,380.0
381,42948.591111967486,381.0
382,43056.89141297093,382.0
383,43077.35927785347,383.0
384,43009.91736308336,384.0
385,43086.96074993476,385.0
386,43119.756125631124,386.0
