,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-0.3734465586918926,-4.8485184028854835,0.9859879767623247,0.8427240804096319,0.5985166914257758,5.237018629584439,0.7647313719603892,0.6640572080829401,0.8420489228349345,0.8900155385645151,0.7977970647380557,0.9807755466303475
41,0.9080449696290195,0.13995994787469493,0.5308844253941609,-1.494417191469721,3.290669884653137,1.9133074393238794,0.5179205675669121,3.301566703059505,0.6714667433779277,-0.1138737043706585,0.8689019824792612,0.5978258825303902,-0.033204015069984466,1.0285430015872206
42,0.9678924784861273,0.14605760406878063,0.2761837392411266,-1.4048738707675588,2.4006813249161527,1.707105413742237,0.2738810717749415,3.5302849692521465,0.297599850871385,-0.6965101549565615,0.7584475274375283,0.16932579013317603,-0.8734611661933417,0.8494285461109309
43,1.0390037466243902,0.15314484920464314,-1.8351604044659693,-3.3188703208266896,1.0985017416100578,2.2824555716948463,1.0353001772931467,3.803529025850966,0.5395464071862275,-0.6939099860288447,0.7816586855400112,0.13824705275239346,-0.3254981629849161,0.5589721080777809
