,[Fe/H]_Median,[Fe/H]_MAD,StellarAge_BinCenters_Gyr,[Fe/H]_Median_H,[Fe/H]_MAD_H,[Fe/H]_Median_B,[Fe/H]_MAD_B,[Fe/H]_Median_CD,[Fe/H]_MAD_CD,[Fe/H]_Median_WD,[Fe/H]_MAD_WD
0,0.165998,0.202823,0.5,-0.310487,0.218102,0.801166,0.057849,0.162987,0.18293,0.057226,0.286314
1,0.142697,0.19673,1.5,-0.273588,0.029482,0.755781,0.086201,0.135366,0.164669,0.078546,0.286435
2,0.141518,0.215171,2.5,-0.265716,0.031177,0.643368,0.112382,0.120088,0.187301,0.119934,0.277204
3,0.03023,0.179861,3.5,-0.311191,0.032427,0.641258,0.125016,0.029638,0.154855,-0.017275,0.187337
4,0.006105,0.213189,4.5,-0.317967,0.093809,0.143128,0.228228,-0.084164,0.14175,-0.039474,0.194556
5,-0.116233,0.215937,5.5,-0.250713,0.205527,-0.002945,0.167472,-0.111171,0.22047,-0.130744,0.235085
6,-0.166957,0.2403,6.5,-0.278857,0.210737,-0.011961,0.207331,-0.156633,0.250564,-0.171053,0.26342
7,-0.22913,0.226593,7.5,-0.368224,0.197098,-0.092082,0.200833,-0.203674,0.221883,-0.207776,0.239256
8,-0.33274,0.247244,8.5,-0.492845,0.196406,-0.182748,0.233319,-0.31912,0.24314,-0.304682,0.258249
9,-0.459683,0.244344,9.5,-0.640958,0.191414,-0.30411,0.245305,-0.452199,0.246058,-0.45581,0.254428
10,-0.637406,0.268636,10.5,-0.884327,0.228346,-0.472243,0.233195,-0.615544,0.268358,-0.615987,0.276933
11,-0.839014,0.310583,11.5,-1.107505,0.261151,-0.642474,0.259247,-0.838797,0.295672,-0.844858,0.317554
12,-1.248688,0.372483,12.5,-1.446437,0.35036,-1.025773,0.306889,-1.31177,0.381736,-1.263728,0.381516
13,-2.085125,0.48288,13.5,-2.197069,0.47934,-1.957039,0.448997,-2.14073,0.469063,-2.121045,0.511046
