CylindricalRadius_ckpc,[Fe/H]_Stars,[Fe/H]_Stars_Std,[Fe/H]_H_Stars,[Fe/H]_H_Stars_Std,[Fe/H]_B_Stars,[Fe/H]_B_Stars_Std,[Fe/H]_CD_Stars,[Fe/H]_CD_Stars_Std,[Fe/H]_WD_Stars,[Fe/H]_WD_Stars_Std,[O/H]_Stars,[O/H]_Stars_Std,[O/H]_H_Stars,[O/H]_H_Stars_Std,[O/H]_B_Stars,[O/H]_B_Stars_Std,[O/H]_CD_Stars,[O/H]_CD_Stars_Std,[O/H]_WD_Stars,[O/H]_WD_Stars_Std,[O/Fe]_Stars,[O/Fe]_Stars_Std,[O/Fe]_H_Stars,[O/Fe]_H_Stars_Std,[O/Fe]_B_Stars,[O/Fe]_B_Stars_Std,[O/Fe]_CD_Stars,[O/Fe]_CD_Stars_Std,[O/Fe]_WD_Stars,[O/Fe]_WD_Stars_Std
0.25,0.17551,0.347738,-0.575056,0.352771,0.181076,0.358599,0.17021,0.315356,0.169923,0.321326,0.43389,0.323832,-0.278005,0.329356,0.441214,0.335304,0.424492,0.289088,0.424843,0.29647,0.258381,0.050618,0.297051,0.049139,0.260137,0.049315,0.254282,0.053802,0.25492,0.052216
0.75,0.063706,0.379112,-0.584405,0.354325,0.072788,0.397445,0.030585,0.322885,0.074829,0.344383,0.323667,0.348276,-0.286412,0.334935,0.334516,0.366385,0.286349,0.289997,0.331695,0.314564,0.259961,0.055983,0.297994,0.048254,0.261728,0.056496,0.255764,0.055079,0.256866,0.054778
1.25,-0.066274,0.366032,-0.596096,0.389084,-0.075486,0.371498,-0.057723,0.349818,-0.023813,0.336445,0.199234,0.336228,-0.296965,0.370996,0.192861,0.341649,0.200483,0.315286,0.23725,0.309374,0.265508,0.052665,0.299131,0.045804,0.268347,0.052824,0.258206,0.054219,0.261063,0.050894
1.75,-0.125152,0.361249,-0.581772,0.369411,-0.14686,0.363544,-0.085207,0.333383,-0.057822,0.328303,0.140467,0.329627,-0.283847,0.351168,0.123297,0.333206,0.171185,0.298883,0.200557,0.297029,0.265619,0.05165,0.297925,0.045502,0.270156,0.051314,0.256392,0.051737,0.258379,0.050537
2.25,-0.165492,0.393096,-0.569209,0.369055,-0.204797,0.40974,-0.080523,0.329821,-0.077628,0.344389,0.098547,0.359752,-0.272209,0.353847,0.065381,0.377281,0.172147,0.298231,0.17777,0.310745,0.264038,0.05132,0.296999,0.043672,0.270179,0.052187,0.25267,0.047401,0.255398,0.049571
2.75,-0.190585,0.400337,-0.570155,0.366199,-0.261723,0.407703,-0.056377,0.332236,-0.101388,0.358189,0.073077,0.365569,-0.273331,0.352224,0.012093,0.3738,0.192186,0.300258,0.153083,0.323791,0.263662,0.051285,0.296824,0.041137,0.273816,0.052282,0.248563,0.046281,0.254471,0.04985
3.25,-0.209497,0.43719,-0.58383,0.558774,-0.347104,0.400995,-0.030299,0.322685,-0.132002,0.357159,0.054096,0.402882,-0.286924,0.533552,-0.066101,0.370099,0.213678,0.293172,0.125208,0.325393,0.263593,0.050935,0.296905,0.047802,0.281004,0.050318,0.243977,0.044495,0.25721,0.047408
3.75,-0.205644,0.461103,-0.569243,0.548273,-0.421777,0.462421,-0.004725,0.316526,-0.163119,0.369526,0.056097,0.427515,-0.272979,0.526393,-0.133874,0.439118,0.235664,0.286979,0.096051,0.339275,0.261742,0.050866,0.296264,0.046881,0.287903,0.048649,0.240388,0.043409,0.259169,0.046522
4.25,-0.196113,0.426397,-0.555616,0.422741,-0.401629,0.352902,-0.000856,0.321007,-0.174669,0.35233,0.063723,0.39358,-0.259734,0.407383,-0.118677,0.32906,0.2382,0.291931,0.085209,0.325087,0.259837,0.049417,0.295882,0.04378,0.282952,0.045399,0.239056,0.04366,0.259878,0.042504
4.75,-0.204184,0.441372,-0.585671,0.394656,,,-0.0068,0.320087,-0.180315,0.429499,0.056129,0.388174,-0.288664,0.373068,,,0.232593,0.290978,0.081241,0.324779,0.260313,0.112735,0.297007,0.048448,,,0.239393,0.04365,0.261556,0.201912
