,Time_Gyr,[Fe/H]_Type4_Mean,[O/H]_Type4_Mean,[O/Fe]_Type4_Mean,[Fe/H]_Type0_Mean,[O/H]_Type0_Mean,[O/Fe]_Type0_Mean,[Fe/H]_Type0_30ckpc_Mean,[O/H]_Type0_30ckpc_Mean,[O/Fe]_Type0_30ckpc_Mean
0,0.0525742,,,,,,,,,
1,0.0564469,,,,,,,,,
2,0.0606048,,,,,,,,,
3,0.0646081,,,,,,,,,
4,0.0693672,,,,,,,,,
5,0.0744768,,,,,,,,,
6,0.0799628,,,,,,,,,
7,0.0852449,,,,,,,,,
8,0.091524,,,,,,,,,
9,0.0982656,,,,,,,,,
10,0.1055038,,,,,,,,,
11,0.1132751,,,,,,,,,
12,0.1207575,,,,,,,,,
13,0.1296523,,,,,,,,,
14,0.1392022,,,,,,,,,
15,0.1494555,,,,,,,,,
16,0.1593275,,,,,,,,,
17,0.171063,,,,,,,,,
18,0.1836627,,,,,,,,,
19,0.1971903,,,,,,,,,
20,0.2102148,,,,,,,,,
21,0.2256976,,,,,,,,,
22,0.2423204,,,,,,,,,
23,0.2601672,,,,,,,,,
24,0.27735,,,,,,,,,
25,0.2977756,,,,,,,,,
26,0.3197047,,,,,,,,,
27,0.343248,,,,,,,,,
28,0.3685238,,,,,,,,,
29,0.3928584,,,,,,,,,
30,0.4217845,-2.4080746401511512,-1.9214277626080278,0.48664687754312297,-2.709423513006716,-2.225398677902608,0.48402483510410765,-1.9436780936544888,-1.4861217599302547,0.45755633372423377
31,0.4528384,-3.0790127132840768,-2.4738347062540624,0.6051780070300145,-2.5472627850751173,-2.078675713441488,0.46858707163362917,-1.8651670193597807,-1.408879388223151,0.4562876311366296
32,0.4861761,-2.7897880653732057,-2.2426271191739624,0.5471609461992435,-3.339016595171329,-2.851432016725394,0.48758457844593583,-1.8522989940153456,-1.4165266870068909,0.4357723070084542
33,0.5182708,-2.6148872168310078,-2.098239207083629,0.5166480097473786,-3.000895335797328,-2.5261339291870444,0.47476140661028343,-1.8274060304895356,-1.394493396957367,0.432912633532168
34,0.5564189,-2.155106251522503,-1.6797641690570608,0.47534208246544196,-2.522642686777803,-2.04801301941958,0.47462966735822276,-1.5767103098537631,-1.1578047547815182,0.4189055550722447
35,0.5973702,-1.8952090138696123,-1.434099835123214,0.4611091787463978,-2.1256190422030157,-1.68179767871623,0.44382136348678575,-1.4738678728219297,-1.0481087419412678,0.42575913088066164
36,0.6413298,-1.7446611282310707,-1.2914361235250524,0.4532250047060183,-2.7794905202196007,-2.3043397770526637,0.4751507431669367,-1.194456847189639,-0.7920355716933613,0.4024212754962779
37,0.6885171,-1.702562393463189,-1.2565392951527439,0.446023098310445,-2.5524992679745413,-2.115479029647332,0.4370202383272096,-1.0545186200090262,-0.6797022895666275,0.3748163304423985
38,0.7339396,-1.697124993600943,-1.2534269768774045,0.44369801672353826,-2.2827562877257965,-1.8642473097802894,0.418508977945507,-1.1605941351242652,-0.757653307724187,0.40294082740007836
39,0.7879218,-1.5941926462335492,-1.1601957537721728,0.4339968924613762,-1.9448920419818467,-1.5407148831515571,0.40417715883028943,-1.1220722679855424,-0.7340072496414213,0.38806501834412127
40,0.8458613,-1.477646320615766,-1.053243562796728,0.42440275781903797,-1.9288253706515515,-1.54273865906024,0.3860867115913115,-0.9685662542932137,-0.6035825352330474,0.3649837190601664
41,0.908045,-1.8814381770846402,-1.451414917659679,0.43002325942496106,-1.9235773544033339,-1.5371917023899504,0.3863856520133834,-1.3314567010754845,-0.9422184205648749,0.3892382805106095
42,0.9678925,-1.68663036185108,-1.26302013101911,0.4236102308319701,-1.7307806065734486,-1.3551990854445595,0.37558152112888865,-1.2102403354133178,-0.8134657522297157,0.3967745831836019
43,1.0390037,-1.6185065686168827,-1.2000593032988185,0.41844726531806375,-1.6654250844821945,-1.2886690822535831,0.3767560022286112,-1.0625966698588307,-0.6847979424430726,0.3777987274157578
44,1.1153094,-1.2623996754508826,-0.863634275710183,0.39876539974069947,-1.3932839125253638,-1.0263531873053606,0.36693072522000275,-0.8100803257593142,-0.43457223933550454,0.3755080864238096
45,1.1971819,-0.9918570379032113,-0.5991196279095616,0.39273740999364964,-1.3592858954949874,-1.000173917930297,0.3591119775646902,-0.6077828956055006,-0.2641952682240215,0.3435876273814791
46,1.2850184,-0.8885780806872695,-0.5046904324781045,0.3838876482091649,-1.3323785877984282,-0.9766614822228505,0.35571710557557745,-0.621633122639614,-0.2771346884047564,0.3444984342348576
47,1.3695202,-0.8164807568333973,-0.439731085127753,0.3767496717056442,-1.2689933913272862,-0.9301702303501141,0.338823160977172,-0.47674837358437405,-0.1505753351499212,0.3261730384344528
48,1.4698785,-0.759775429331178,-0.3897269317444385,0.3700484975867395,-1.2798056641461817,-0.9629647467671361,0.31684091737904546,-0.43429942507348956,-0.13111497382069287,0.3031844512527967
49,1.5775065,-0.7191812494244276,-0.3553608225082818,0.36382042691614574,-1.1934311283178007,-0.904605086874095,0.28882604144370566,-0.43447181357697495,-0.14799473314440542,0.2864770804325695
50,1.692911,-0.6780972976889708,-0.3216151054721679,0.3564821922168027,-1.1650776682577104,-0.8775846686927309,0.28749299956497965,-0.4548222087584161,-0.1703649043614578,0.28445730439695827
51,1.8166298,-0.6403261799017873,-0.2904239693216402,0.34990221058014703,-1.2276050782195005,-0.9415187745007711,0.2860863037187291,-0.36594954022559634,-0.09218679402174998,0.27376274620384633
52,1.9492319,-0.6146249917233526,-0.2699143992836765,0.3447105924396761,-1.2167415556241603,-0.9393817209390026,0.27735983468515757,-0.4549697725440269,-0.187955003477072,0.2670147690669549
53,2.0913186,-0.5920085647923781,-0.2532527319649596,0.33875583282741845,-1.1423705675708637,-0.8682707406616992,0.27409982690916446,-0.4951370711041823,-0.22528409200408028,0.26985297910010203
54,2.2435237,-0.564273137219384,-0.2315578715352521,0.332715265684132,-1.0729203180070581,-0.7969921241845898,0.27592819382246836,-0.4998925697335966,-0.22947460694668875,0.27041796278690783
55,2.3897091,-0.5479491927276972,-0.21919289247071502,0.32875630025698216,-1.016814217753444,-0.7375031430009531,0.27931107475249084,-0.5212406589436693,-0.24318012318857415,0.27806053575509526
56,2.5451363,-0.5345941637663602,-0.20941122456676495,0.3251829391995951,-1.0151831946319407,-0.7366674098461093,0.27851578478583133,-0.4925536310547562,-0.2128732755561693,0.2796803554985869
57,2.6914781,-0.5314212877711008,-0.2089030979858254,0.3225181897852753,-0.9859283732885261,-0.709277009036364,0.27665136425216247,-0.45733875576747723,-0.1773463569639405,0.27999239880353666
58,2.8459209,-0.5217301502668085,-0.2023950440210895,0.319335106245719,-0.9468948994589527,-0.6747784275187904,0.2721164719401622,-0.4264494150732617,-0.1506375860072244,0.27581182906603724
59,2.9880126,-0.500403901336752,-0.1837647694655632,0.3166391318711888,-0.891699796646552,-0.6226140093326976,0.26908578731385435,-0.3963903331217367,-0.12593587872158746,0.27045445440014915
60,3.1368773,-0.4872591767753428,-0.17308842929672114,0.31417074747862167,-0.9091448337760617,-0.6425039271086078,0.26664090666745394,-0.39274706058784953,-0.12724783065199355,0.26549922993585595
61,3.2927893,-0.474246933023857,-0.16229621499624253,0.3119507180276144,-0.8816146113286386,-0.6170259540980133,0.2645886572306255,-0.37651518843334913,-0.11442961420439424,0.26208557422895484
62,3.4560273,-0.46657453842472474,-0.15736554440763045,0.30920899401709423,-0.8915300585249386,-0.6269966305422099,0.26453342798272844,-0.40873968554384377,-0.14688703851497442,0.2618526470288693
63,3.6019898,-0.46152825751354215,-0.1544371315547627,0.30709112595877935,-0.8485846587989326,-0.585935299950257,0.2626493588486756,-0.4153546348241067,-0.15290992505334797,0.2624447097707588
64,3.7537196,-0.4506586292913478,-0.1462269329772044,0.3044316963141433,-0.8118883474495132,-0.5498263285918613,0.2620620188576518,-0.37760576931230744,-0.11086874539074874,0.26673702392155857
65,3.9113954,-0.43790677507763504,-0.13557251957590663,0.3023342555017285,-0.7679767201030386,-0.5085328621870909,0.25944385791594754,-0.28335161621697674,-0.01862093776955203,0.2647306784474247
66,4.0474627,-0.4258549537784104,-0.12498500439616989,0.3008699493822405,-0.7511358903022594,-0.4939607419843767,0.2571751483178825,-0.2995627673754771,-0.04206626300049125,0.2574965043749858
67,4.2165016,-0.5111842682233354,-0.2093041256600914,0.3018801425632439,-0.7418201877782546,-0.4739886916710209,0.26783149610723367,-0.41051337734721893,-0.13526738764018392,0.2752459897070349
68,4.3622849,-0.4071328114853491,-0.10926405571232695,0.297868755773022,-0.7087578046144962,-0.45510598485293885,0.2536518197615571,-0.2566150894578525,-0.013074372873203564,0.243540716584649
69,4.5126456,-0.4124905916304872,-0.11610952424505795,0.2963810673854291,-0.724627491506968,-0.4680807030635159,0.2565467884434522,-0.24903290863151514,-0.007078791828517222,0.24195411680299797
70,4.6676818,-0.4472793486268752,-0.1516897658264797,0.29558958280039527,-0.7012524735391784,-0.44246452839353473,0.258787945145644,-0.35603211836804644,-0.10095575814676828,0.2550763602212781
71,4.8274896,-0.42028755344383195,-0.1278677541789526,0.29241979926487927,-0.6939883672475379,-0.43458842972354733,0.2593999375239901,-0.21233644029903884,0.04755605124324769,0.2598924915422865
72,4.9921623,-0.37504276850450896,-0.08390394079198495,0.29113882771252403,-0.6519110375296224,-0.39526749303019476,0.25664354449942783,-0.06768580881935694,0.19162284320485987,0.2593086520242169
73,5.127464,-0.3599480612127064,-0.06997778278883562,0.28997027842387085,-0.6651257425500693,-0.4107463575256738,0.25437938502439544,-0.13441553702222933,0.11938244164436092,0.2537979786665902
74,5.3011186,-0.34361753943012857,-0.05520229318564425,0.28841524624448445,-0.6689172233690113,-0.41538169213047677,0.25353553123853473,-0.21134977175958078,0.04404412632735474,0.25539389808693547
75,5.4437164,-0.33573011736534963,-0.04827983071729523,0.28745028664805417,-0.6517045486076208,-0.3998703430044142,0.2518342056032063,-0.2051564480114803,0.05445449581268413,0.25961094382416433
76,5.5896241,-0.3274397469190052,-0.04100135050172119,0.28643839641728397,-0.6300558992559455,-0.38056446524997023,0.24949143400597504,-0.16291715125515346,0.09216251788330053,0.2550796691384541
77,5.7388805,-0.3214082584517404,-0.03598035898480672,0.28542789946693364,-0.6108314770528128,-0.3637991446094367,0.24703233244337633,-0.14396571025609645,0.11488897802309611,0.2588546882791926
78,5.9302152,-0.31271846502660605,-0.0287083484922173,0.2840101165343888,-0.6027623595415692,-0.35904198593193687,0.24372037360963245,-0.13276919099637918,0.12016852816943463,0.25293771916581376
79,6.0871354,-0.30456500122929664,-0.021635460044609686,0.2829295411846869,-0.576172909495983,-0.33546242217237426,0.24071048732360883,-0.09309615173120857,0.15877610392863545,0.25187225565984406
80,6.2070934,-0.29867601815584094,-0.016540061428953003,0.2821359567268882,-0.5619889108016191,-0.3227217111195023,0.23926719968211693,-0.1095842225042689,0.14069469268515689,0.25027891518942585
81,6.3700838,-0.2913238996229369,-0.010300171013321207,0.28102372860961544,-0.5407845295349597,-0.30226216922378324,0.2385223603111763,-0.10970575005499428,0.13948642486040327,0.24919217491539755
82,6.5365796,-0.28470932025153944,-0.004672009109939426,0.28003731114159996,-0.5139280779071627,-0.2765409225806243,0.2373871553265383,-0.09539260635533175,0.15158872177639773,0.2469813281317295
83,6.7066037,-0.2788205500826131,0.00010228560492284746,0.27892283568753595,-0.5054137433985261,-0.26798324350180713,0.23743049989671894,-0.10184945420568946,0.1455442781670963,0.24739373237278572
84,6.8364491,-0.2736358686358344,0.004450205891094908,0.2780860745269292,-0.4926446417295039,-0.2553944090254196,0.2372502327040842,-0.060374737608462514,0.18314290088456406,0.2435176384930266
85,7.0126931,-0.26611013149104923,0.010844038188381342,0.27695416967943054,-0.4832795219561563,-0.24636388297499798,0.23691563898115825,-0.07061848712938085,0.17511629258474046,0.24573477971412133
86,7.1472212,-0.26030306256961144,0.01582948755034564,0.2761325501199571,-0.47914928370884124,-0.24395210547497276,0.23519717823386843,-0.00025315625062595503,0.23921344122148727,0.23946659747211319
87,7.3297275,-0.2551310896261123,0.02001727607542836,0.2751483657015407,-0.47469717430798636,-0.24184810204200133,0.23284907226598506,-0.010356124596750848,0.22692038350283808,0.237276508099589
88,7.4689628,-0.2500046995809724,0.024365346334732828,0.27437004591570524,-0.46347768505580594,-0.23118180091331633,0.23229588414248958,-0.014901130195703544,0.2214965244638611,0.2363976546595646
89,7.6577542,-0.24295443465759786,0.030324181339032117,0.2732786159966302,-0.4405172743374785,-0.20894656544581364,0.2315707088916651,0.00725740750615498,0.2398925843864452,0.2326351768802902
90,7.8017065,-0.23744092669955127,0.035064826232426904,0.2725057529319782,-0.42815455144810155,-0.19772669688961295,0.23042785455848863,0.013469094684260136,0.2470664836745391,0.23359738899027885
91,7.9476796,-0.23288874158640716,0.038930008694415964,0.27181875028082303,-0.43537569747961935,-0.2068199265094244,0.22855577097019478,0.007845686192093908,0.23932843408406448,0.2314827478919707
92,8.0956711,-0.22745056178304815,0.04358717762871865,0.27103773941176684,-0.4260455308112154,-0.19859380441932598,0.22745172639188932,-0.004546337845012538,0.22432369159046353,0.2288700294354762
93,8.2961266,-0.21925015676849202,0.05059232551946485,0.2698424822879568,-0.43781845430771016,-0.2112104006513185,0.22660805365639144,0.014225877251338828,0.24174852821016948,0.22752265095883062
94,8.4488118,-0.21298224942399657,0.05601195142667248,0.2689942008506691,-0.43174622081651437,-0.2069374283542588,0.22480879246225544,0.054640301910468675,0.27793061063191105,0.22329030872144223
95,8.6034987,-0.20604198026401463,0.06196554903555466,0.2680075292995694,-0.4260913172856943,-0.20241632958245118,0.22367498770324304,0.03643494094855266,0.2594826723105273,0.22304773136197462
96,8.7601795,-0.1991618731732924,0.067834685734528,0.26699655890782037,-0.4158716469757429,-0.19226802648063163,0.22360362049511165,0.03782921518297484,0.2605150323402862,0.22268581715731153
97,8.9188451,-0.192484558587573,0.07352586199094582,0.2660104205785187,-0.4095990784596451,-0.1866165301966267,0.22298254826301825,0.04465616053735513,0.2661559994761957,0.22149983893884054
98,9.0794853,-0.18669914104711127,0.07847510028159947,0.2651742413287106,-0.4052137280209983,-0.18311552226579336,0.22209820575520467,0.0946885317176858,0.3142084316470871,0.2195198999294012
99,9.2420885,-0.1814942271093516,0.082980491320888,0.2644747184302395,-0.4013141451430462,-0.1804118825023267,0.22090226264071972,0.07259124849072154,0.2895598132393079,0.2169685647485864
100,9.4066418,-0.1767700427012838,0.08693045227812175,0.26370049497940556,-0.3947312498303303,-0.1745630746268454,0.22016817520348514,0.06276316519946067,0.27755456873324846,0.21479140353378792
101,9.5731313,-0.17125545790172791,0.09162292619703107,0.26287838409875885,-0.38520710473445874,-0.1658177753447161,0.2193893293897429,0.09277883886633682,0.3052705472481216,0.2124917083817847
102,9.7415418,-0.16673242268897315,0.09541893524675624,0.26215135793572947,-0.3780775403720788,-0.1598175626997732,0.21825997767230582,0.09669411841413396,0.30766329741174664,0.21096917899761258
103,9.8548746,-0.16363775141822715,0.09802855147093972,0.26166630288916676,-0.37727661463281814,-0.15975619378121425,0.21752042085160406,0.08472792618370906,0.29540715159523284,0.21067922541152373
104,10.0264497,-0.1589119093362557,0.1019896428181748,0.2609015521544304,-0.376415919003255,-0.1598242961544059,0.21659162284884892,0.0958529956722438,0.3062538964375377,0.2104009007652938
105,10.1998995,-0.15406078219484334,0.10605379170252369,0.2601145738973671,-0.36880104764154925,-0.15361899420112182,0.21518205344042723,0.10774341545314055,0.3162391745480134,0.20849575909487295
106,10.3752046,-0.1493638304351877,0.10999088192272173,0.2593547123579094,-0.35984306414295647,-0.14623127301051891,0.2136117911324375,0.10795857776572636,0.31438619670635237,0.20642761894062592
107,10.5523448,-0.1449179540652947,0.11370126802120777,0.25861922208650256,-0.34604205784147307,-0.13362776096847667,0.21241429687299648,0.10677619015145529,0.3129365117601726,0.20616032160871725
108,10.6714471,-0.14212350298977264,0.11600759346782759,0.25813109645760035,-0.33764530980579316,-0.12575506510124054,0.21189024470455267,0.10436995559698403,0.3099835927307424,0.20561363713375835
109,10.8515973,-0.13827758973934953,0.1191983132941127,0.2574759030334624,-0.3219703013005401,-0.11132598084472625,0.21064432045581394,0.12542053736839248,0.32793419425124776,0.2025136568828552
110,11.0335233,-0.13454769308321335,0.1223370813262421,0.2568847744094555,-0.3095498064006348,-0.1004076434456502,0.20914216295498475,0.14699167039789857,0.34712534686865915,0.20013367647076047
111,11.155782,-0.13231749771502832,0.1242200856031963,0.2565375833182247,-0.3049155903903672,-0.09678358801745308,0.20813200237291404,0.14784513174941552,0.3456944801937932,0.1978493484443776
