,H_H,H_B,H_CD,H_WD,B_H,B_B,B_CD,B_WD,CD_H,CD_B,CD_CD,CD_WD,WD_H,WD_B,WD_CD,WD_WD,Time_Gyr
0,,,,,,,,,,,,,,,,,0.0525742
1,,,,,,,,,,,,,,,,,0.0564469
2,,,,,,,,,,,,,,,,,0.0606048
3,,,,,,,,,,,,,,,,,0.0646081
4,,,,,,,,,,,,,,,,,0.0693672
5,,,,,,,,,,,,,,,,,0.0744768
6,,,,,,,,,,,,,,,,,0.0799628
7,,,,,,,,,,,,,,,,,0.0852449
8,,,,,,,,,,,,,,,,,0.091524
9,,,,,,,,,,,,,,,,,0.0982656
10,,,,,,,,,,,,,,,,,0.1055038
11,,,,,,,,,,,,,,,,,0.1132751
12,,,,,,,,,,,,,,,,,0.1207575
13,,,,,,,,,,,,,,,,,0.1296523
14,,,,,,,,,,,,,,,,,0.1392022
15,,,,,,,,,,,,,,,,,0.1494555
16,,,,,,,,,,,,,,,,,0.1593275
17,,,,,,,,,,,,,,,,,0.171063
18,,,,,,,,,,,,,,,,,0.1836627
19,,,,,,,,,,,,,,,,,0.1971903
20,,,,,,,,,,,,,,,,,0.2102148
21,,,,,,,,,,,,,,,,,0.2256976
22,,,,,,,,,,,,,,,,,0.2423204
23,,,,,,,,,,,,,,,,,0.2601672
24,,,,,,,,,,,,,,,,,0.27735
25,,,,,,,,,,,,,,,,,0.2977756
26,,,,,,,,,,,,,,,,,0.3197047
27,,,,,,,,,,,,,,,,,0.343248
28,,,,,,,,,,,,,,,,,0.3685238
29,,,,,,,,,,,,,,,,,0.3928584
30,0.0,3.280129630723006e-06,1.0933765435743355e-06,1.0933765435743355e-06,2.389679525593468e-05,7.53668158071786e-05,5.514645059061848e-06,2.573501027562196e-05,2.4392921174275227e-06,1.2196460587137613e-05,4.878584234855045e-06,2.4392921174275227e-06,7.63539463537173e-06,3.5631841631734735e-05,0.0,2.54513154512391e-06,0.4217845
31,5.466882717871677e-06,5.466882717871677e-06,1.0933765435743355e-06,1.0933765435743355e-06,3.124965533468381e-05,0.00011396933122061153,1.286750513781098e-05,2.0220365216560112e-05,9.75716846971009e-06,1.7075044821992656e-05,2.4392921174275227e-06,2.4392921174275227e-06,1.018052618049564e-05,3.054157854148692e-05,5.09026309024782e-06,1.018052618049564e-05,0.4528384
32,4.373506174297342e-06,7.653635805020348e-06,4.373506174297342e-06,0.0,2.2058580236247394e-05,0.0001507336316143572,9.191075098436413e-06,3.6764300393745654e-05,1.2196460587137613e-05,1.2196460587137613e-05,0.0,9.75716846971009e-06,1.018052618049564e-05,5.09026309024782e-05,5.09026309024782e-06,1.272565772561955e-05,0.4861761
33,6.560259261446012e-06,1.2027141979317689e-05,3.280129630723006e-06,3.280129630723006e-06,3.308787035437109e-05,0.00017830685690966644,2.573501027562196e-05,4.0440730433120224e-05,4.878584234855045e-06,2.4392921174275225e-05,9.75716846971009e-06,2.4392921174275227e-06,5.09026309024782e-06,6.362828862809775e-05,7.63539463537173e-06,2.2906183906115187e-05,0.5182708
34,1.2027141979317689e-05,1.5307271610040697e-05,3.280129630723006e-06,6.560259261446012e-06,3.492608537405837e-05,0.00026286474781528146,2.7573225295309242e-05,4.411716047249479e-05,7.317876352282567e-06,2.4392921174275225e-05,4.878584234855045e-06,9.75716846971009e-06,2.036105236099128e-05,7.380881480859338e-05,0.0,2.2906183906115187e-05,0.5564189
35,2.0774154327912372e-05,2.842779013293272e-05,7.653635805020348e-06,8.747012348594684e-06,4.963180553155664e-05,0.00031617298338621267,3.308787035437109e-05,9.7425396043426e-05,7.317876352282567e-06,4.878584234855045e-05,2.4392921174275227e-06,2.4392921174275227e-06,2.036105236099128e-05,7.635394635371729e-05,1.272565772561955e-05,5.34477624476021e-05,0.5973702
36,2.5147660502209714e-05,4.264168519939908e-05,6.560259261446012e-06,9.84038889216902e-06,4.2278945452807506e-05,0.0005091855604533774,4.0440730433120224e-05,6.801395572842946e-05,7.317876352282567e-06,6.586088717054311e-05,0.0,4.878584234855045e-06,1.7815920815867367e-05,0.00017306894506842585,7.63539463537173e-06,2.036105236099128e-05,0.6413298
37,3.280129630723006e-05,3.936155556867608e-05,1.3120518522892024e-05,1.85874012407637e-05,8.271967588592773e-05,0.0005385970007683739,7.169038576780403e-05,0.00017095399683091732,7.317876352282567e-06,6.098230293568806e-05,1.951433693942018e-05,3.1710797526557794e-05,2.7996446996363007e-05,0.0002137910497904084,2.54513154512391e-05,8.144420944396512e-05,0.6885171
38,4.701519137369642e-05,6.122908644016279e-05,6.560259261446012e-06,1.0933765435743355e-05,9.7425396043426e-05,0.000779403168347408,5.147002055124392e-05,0.00014521898655529535,1.2196460587137613e-05,0.00011464672951909356,4.878584234855045e-06,2.1953629056847703e-05,4.072210472198256e-05,0.0003359573639563561,1.527078927074346e-05,5.09026309024782e-05,0.7339396
39,5.029532100441943e-05,0.00010496414818313619,1.640064815361503e-05,1.7494024697189368e-05,9.374896600405142e-05,0.00099447432565082,9.558718102373871e-05,0.00018382150196872828,1.2196460587137613e-05,0.00014635752704565135,1.2196460587137613e-05,3.415008964398531e-05,3.8176973176858646e-05,0.00039704052103932993,3.8176973176858646e-05,7.88990778988412e-05,0.7879218
40,8.856350002952116e-05,0.00010059064200883886,9.84038889216902e-06,4.373506174297342e-05,0.00015624827667341904,0.0011543990323636137,0.00011580754624029883,0.000279408682992467,3.415008964398531e-05,0.00019270407727677428,9.75716846971009e-06,2.6832213291702747e-05,9.162473562446075e-05,0.0004733944673930472,4.326723626710646e-05,8.144420944396512e-05,0.8458613
41,0.00014104557412108925,9.512375929096718e-05,1.5307271610040697e-05,2.9521166676507056e-05,0.00022793866244122306,0.0013382205343323418,0.00011213111620092425,0.0003529372837799583,4.390725811369541e-05,0.0001853862009244917,4.878584234855045e-06,7.073947140539816e-05,0.00011962118262082376,0.0005217519667504015,4.8357499357354286e-05,0.00014761762961718676,0.908045
42,0.00013448531485964327,0.00013557869140321758,2.2960907415061043e-05,3.8268179025101737e-05,0.00023529152251997222,0.0016415260125807437,0.00015808649169310633,0.0003069819082877762,4.146796599626788e-05,0.00023417204327304215,2.1953629056847703e-05,5.610371870083302e-05,9.926013025983248e-05,0.0006871855171834557,6.617342017322165e-05,0.00013489197189156722,0.9678925
43,0.00017166011734117065,0.00012792505559819725,2.0774154327912372e-05,6.122908644016279e-05,0.0002573501027562196,0.0017628482038801042,0.00018382150196872828,0.0004393333897052606,4.878584234855045e-05,0.000270761425034455,2.6832213291702747e-05,5.610371870083302e-05,0.00014761762961718676,0.0007024563064541991,8.653447253421293e-05,0.0001807043397037976,1.0390037
44,0.00018040712968976535,0.00015525946918755563,2.5147660502209714e-05,6.888272224518313e-05,0.0003437462086815219,0.0020367422418135096,0.0002150711573034121,0.0004816123351580681,6.586088717054311e-05,0.0003049115146784403,2.4392921174275225e-05,8.293593199253576e-05,0.0001298017088013194,0.0008526190676165097,7.635394635371729e-05,0.00020870078670016059,1.1153094
45,0.0002132084259969954,0.00019680777784338038,2.186753087148671e-05,5.3575450635142437e-05,0.0003529372837799583,0.0025826921026606323,0.00018565971698841557,0.0004926416252761918,6.830017928797063e-05,0.0003976046151406862,2.1953629056847703e-05,5.1225134465977976e-05,0.0001577981557976824,0.0010613198543166704,8.907960407933684e-05,0.00020106539206478886,1.1971819
46,0.0002656905000885635,0.00022086206180201576,1.3120518522892024e-05,4.9201944460845095e-05,0.0004724212600596317,0.0028382039903971645,0.0002150711573034121,0.0005514645059061849,7.073947140539816e-05,0.00041711895208010634,4.390725811369541e-05,8.049663987510825e-05,0.0002468777598770192,0.0011376738006703877,7.635394635371729e-05,0.00024942289142214314,1.2850184
47,8.96568765730955e-05,7.653635805020347e-05,2.186753087148671e-06,1.3120518522892024e-05,2.0220365216560112e-05,0.00017646864188997915,3.676430039374566e-06,1.6543935177185545e-05,1.2196460587137613e-05,2.927150540913027e-05,2.4392921174275227e-06,0.0,4.072210472198256e-05,6.362828862809775e-05,2.54513154512391e-06,2.54513154512391e-06,1.3695202
48,6.232246298373711e-05,0.0002350759568684821,3.061454322008139e-05,5.5762203722291104e-05,1.4705720157498264e-05,0.00014154255651592078,3.676430039374566e-06,1.6543935177185545e-05,1.2196460587137613e-05,5.610371870083302e-05,4.878584234855045e-06,1.2196460587137613e-05,2.2906183906115187e-05,0.00012471144571107157,7.63539463537173e-06,3.308671008661082e-05,1.4698785
49,0.00012573830251104857,0.00017056674079759631,2.7334413589358385e-05,6.122908644016279e-05,4.0440730433120224e-05,0.0002885997580909034,9.191075098436413e-06,3.6764300393745654e-05,2.4392921174275225e-05,3.902867387884036e-05,2.4392921174275227e-06,0.0,7.126368326346947e-05,0.00018833973433916932,1.018052618049564e-05,3.308671008661082e-05,1.5775065
50,0.00021539517908414406,0.00030723880874438823,5.2482074091568096e-05,8.090986422450082e-05,2.389679525593468e-05,0.00034742263872089644,4.411716047249479e-05,8.823432094498957e-05,2.4392921174275225e-05,7.317876352282568e-05,2.4392921174275227e-06,1.951433693942018e-05,7.380881480859338e-05,0.000254513154512391,3.8176973176858646e-05,7.635394635371729e-05,1.692911
51,0.00021976868525844142,0.0004942061976955995,5.138869754799376e-05,0.00010933765435743354,2.0220365216560112e-05,0.00046690661500056984,6.249931066936762e-05,0.00010294004110248784,1.7075044821992656e-05,0.00010488956104938347,9.75716846971009e-06,1.951433693942018e-05,7.126368326346947e-05,0.00039704052103932993,3.5631841631734735e-05,7.88990778988412e-05,1.8166298
52,0.00028646465441647587,0.00047124529028053856,0.00020555479019197505,0.0003739347779024227,0.00012499862133873524,0.0016654228078366784,0.0003529372837799583,0.0005165384205321265,3.1710797526557794e-05,0.0002049005378639119,4.878584234855045e-05,0.00010001097681452842,0.00011453091953057594,0.0006642793332773404,0.00017306894506842585,0.00037158920558809085,1.9492319
53,0.0004143897100146731,0.000492019444608451,0.0002525699815656715,0.00040236256803535543,0.0002132329422837248,0.00181983286949041,0.0004264658845674496,0.0006911688474024183,7.805734775768073e-05,0.00020246124574648436,7.56180556402532e-05,9.513239257967338e-05,0.00017306894506842585,0.0007380881480859338,0.00018579460279404542,0.0003741343371332147,2.0913186
54,0.0005794895680943978,0.0005138869754799377,0.00024382296921707678,0.00047780554954198455,0.00038234872409495486,0.0020698301121678804,0.00038234872409495486,0.0008363878339577137,9.513239257967338e-05,0.00026832213291702747,9.025380834481833e-05,9.75716846971009e-05,0.00030541578541486917,0.0007991713051689076,0.00021888131288065623,0.0003868599948588343,2.2435237
55,0.0004089228272968014,0.0008440866916393869,0.0003061454322008139,0.0004931128211520253,0.0002242622324018485,0.002760998959570299,0.0004503626798233843,0.0008308731888986518,5.854301081826054e-05,0.00039516532302325864,6.586088717054311e-05,0.00014391823492822383,0.00017561407661354978,0.0011453091953057594,0.00026978394378313444,0.00037922460022346257,2.3897091
56,0.00022414219143273876,0.0020632015377247707,0.0002471030988477998,0.0006603994323188986,2.9411440314996527e-05,0.003672753609335191,0.0005771995161818069,0.0010937379367139332,2.1953629056847703e-05,0.0006000658608871706,5.1225134465977976e-05,0.00021221841421619446,9.416986716958466e-05,0.0016797868197817804,0.0002646936806928866,0.0005497484137467645,2.5451363
57,0.00027115738280643516,0.0028832339454055223,0.00039033542605603774,0.0008211257842243259,6.617574070874218e-05,0.0043363492314423,0.0007187420726977276,0.0014246166402576443,1.951433693942018e-05,0.0007805734775768072,8.781451622739081e-05,0.0002170969984510495,0.0001272565772561955,0.0021811777341711907,0.00032577683777586046,0.0006591890701870926,2.6914781
58,0.0013098650992020538,0.0025016455316980795,0.0004089228272968014,0.0008287794200293462,0.00034558442370120917,0.004755462255931001,0.0008437406940364628,0.001579026701911376,0.00012440389798880366,0.0007756948933419521,0.00011464672951909356,0.00023173275115561463,0.00043521749421618854,0.0022091741811675536,0.0004072210472198256,0.0007839005158981642,2.8459209
59,0.0009359303212996311,0.0039230350383447155,0.00038158841370744307,0.0011513255003837751,0.00013602791145685893,0.006525663319889854,0.0007977853185442808,0.0017793921390572899,8.537522410996328e-05,0.0011196350818992327,0.00013416106645851373,0.0002805185935041651,0.00032832196932098433,0.0032603135093037285,0.0002850547330538779,0.0009238827508799792,2.9880126
60,0.0006090107347709048,0.005546699205552603,0.0006221312532937968,0.001391868339970129,4.0440730433120224e-05,0.008904313555365199,0.0007628592331702223,0.0018216710845100972,4.390725811369541e-05,0.0015904184605627448,0.00019026478515934677,0.0002780793013867376,0.0002036105236099128,0.004319088232075275,0.0004123113103100734,0.0010078720918690683,3.1368773
61,0.0003608142593795307,0.0015143265128504545,0.0003925221791431864,0.0007314689076512304,0.0002040418671852884,0.005145163840104705,0.0006966834924614803,0.001566159196773565,6.098230293568806e-05,0.000756180556402532,8.293593199253576e-05,0.00022197558268590456,0.00017052381352330195,0.0020411954991893756,0.0003155963115953648,0.0006795501225480839,3.2927893
62,0.00035425400011808466,0.0018948215500143232,0.0004045493211225041,0.0008287794200293462,0.0001066164711418624,0.005917214148373364,0.0007959471035245935,0.0016562317327382418,6.098230293568806e-05,0.0008464343647473503,9.75716846971009e-05,0.00024148991962532474,0.0001603432873428063,0.002389878520871351,0.00027232907532825836,0.0007508138058115534,3.4560273
63,0.0002503832284785228,0.0023627867106641386,0.00048108567917270757,0.000867047599054448,4.963180553155664e-05,0.006591839060598596,0.000871313919331772,0.001702187108230424,2.6832213291702747e-05,0.0009025380834481833,0.0001292824822236587,0.0003073508067958678,0.00011707605107569985,0.0026189403599325032,0.00039704052103932993,0.0008297128837103946,3.6019898
64,0.00036409438901025367,0.002566154747768965,0.0005127935989363633,0.0010474547287442134,6.985217074811674e-05,0.0072885225530600764,0.0008823432094498957,0.0018823321801597777,4.390725811369541e-05,0.0010732885316681099,0.0001292824822236587,0.0002732007171518825,0.00014252736652693894,0.0030261614071523286,0.0003690440740429669,0.0008322580152555185,3.7537196
65,0.000694294105169703,0.002562874618138242,0.0008090986422450082,0.0012562896485669114,0.0002132329422837248,0.007674547707194406,0.00116359010746205,0.0021874758734278664,9.025380834481833e-05,0.0011367101267212255,0.00014635752704565135,0.000326865143735288,0.00025196802296726707,0.003158508247498772,0.0004657590727576755,0.0009569694609665901,3.9113954
66,0.0004045493211225041,0.0033522924825989124,0.0009709183706940099,0.0014454437906052714,5.5146450590618484e-05,0.008288511523769958,0.001417263780178895,0.0025698245975228217,3.658938176141284e-05,0.0012123281823614787,0.0002049005378639119,0.0004098010757278238,0.0001603432873428063,0.0035402779792673583,0.0006133767023748623,0.0010282331442300595,4.0474627
67,0.0005401280125257216,0.0038246311494230254,0.001128364592968714,0.0017056674079759632,6.617574070874218e-05,0.009198427958515163,0.0015716738418326268,0.002786733969845921,4.878584234855045e-05,0.001400153675403398,0.00020977912209876694,0.0004000439072581137,0.00015270789270743459,0.0038965963955847056,0.0006897306487285796,0.001155489721486255,4.2165016
68,0.000551061777961465,0.005649476600648591,0.001600703259792827,0.002036960500678987,3.860251541343294e-05,0.01074988143513123,0.001942993275809458,0.0031286419635077555,3.658938176141284e-05,0.001568464831505897,0.0002780793013867376,0.0005122513446597797,0.00014761762961718676,0.004583781912768162,0.0009747853817824575,0.0014609055069011241,4.3622849
69,0.0006680530681239189,0.007802335014946457,0.002256729185937428,0.002561781241594668,2.0220365216560112e-05,0.01225905596629449,0.002632323908192189,0.003799590445693614,5.854301081826054e-05,0.0019172836042980327,0.0003902867387884036,0.0006244587820614458,0.00019597512897454104,0.005606924793907973,0.0012802011671973266,0.0017917726077672324,4.5126456
70,0.0010868162843128894,0.012245817288032557,0.002256729185937428,0.003113936396099707,7.352860078749132e-06,0.012999856619228464,0.0029815847619327727,0.004437451057525101,0.00021465770633362198,0.002488077959776073,0.00045126904172409165,0.0006903196692319888,0.0004683042043027994,0.007403787664765453,0.0013387391927351766,0.0020131990521930127,4.6676818
71,0.0013153319819199255,0.01878420901860708,0.00258255539592258,0.0046348231682116076,2.389679525593468e-05,0.01705495895265861,0.00315253875876369,0.005007297713628158,0.00020977912209876694,0.0034662340988645094,0.0005146906367772073,0.0008781451622739081,0.000534477624476021,0.010323053547022579,0.0015448948478902131,0.002596034176026388,4.8274896
72,0.0025792752662918573,0.019808702839936233,0.005887832687147796,0.009582352027885476,0.0002040418671852884,0.01973323823634298,0.004137822009316073,0.00874071241861303,0.0005268870973643449,0.0032735300215877353,0.0008196021514556476,0.0014074715517556804,0.0013412843242803004,0.010058359866329691,0.0026367562807483704,0.004929919802905013,4.9921623
