CylindricalRadius_ckpc,[Fe/H]_Stars,[Fe/H]_H_Stars,[Fe/H]_B_Stars,[Fe/H]_CD_Stars,[Fe/H]_WD_Stars,[O/H]_Stars,[O/H]_H_Stars,[O/H]_B_Stars,[O/H]_CD_Stars,[O/H]_WD_Stars,[O/Fe]_Stars,[O/Fe]_H_Stars,[O/Fe]_B_Stars,[O/Fe]_CD_Stars,[O/Fe]_WD_Stars
0.25,0.157252,-0.943967,0.089001,0.31638,0.264476,0.4116,-0.651217,0.352756,0.550149,0.503557,0.254347,0.29275,0.263755,0.233769,0.239081
0.75,0.147973,-0.805167,0.056981,0.262229,0.243829,0.397038,-0.510771,0.316826,0.498528,0.481208,0.249065,0.294396,0.259845,0.236299,0.237379
1.25,0.037474,-0.806109,-0.095289,0.150377,0.144815,0.294292,-0.510649,0.175122,0.395487,0.390966,0.256818,0.29546,0.270412,0.24511,0.246151
1.75,-0.027446,-0.902628,-0.209314,0.106092,0.070682,0.23355,-0.595997,0.069657,0.353138,0.322865,0.260996,0.306631,0.278971,0.247045,0.252183
2.25,-0.056333,-0.806521,-0.272823,0.088551,0.028136,0.204813,-0.517278,0.010319,0.334262,0.281889,0.261146,0.289244,0.283141,0.245712,0.253754
2.75,-0.070894,-0.786197,-0.312676,0.067152,0.009662,0.189617,-0.4985,-0.027855,0.312104,0.264169,0.260511,0.287697,0.28482,0.244953,0.254507
3.25,-0.083185,-0.768662,-0.343676,0.053548,-0.022338,0.176831,-0.481968,-0.057387,0.298357,0.233685,0.260016,0.286694,0.286289,0.244809,0.256022
3.75,-0.087756,-0.821267,-0.391454,0.060543,-0.058863,0.170594,-0.529882,-0.102802,0.302875,0.199051,0.258351,0.291384,0.288652,0.242331,0.257914
4.25,-0.081402,-0.784413,-0.43092,0.0726,-0.090382,0.174303,-0.492304,-0.140106,0.311707,0.168991,0.255705,0.292109,0.290814,0.239106,0.259373
4.75,-0.079621,-0.802673,-0.456726,0.071431,-0.113733,0.174244,-0.507127,-0.165379,0.309169,0.146674,0.253864,0.295546,0.291347,0.237738,0.260407
