,Time_Gyr,ExpansionFactor,zPositionMedian_ckpc,zPosition16thPercentile_ckpc,zPosition84thPercentile_ckpc,zPositionAbsMedian_ckpc,zPositionAbs16thPercentile_ckpc,zPositionAbs84thPercentile_ckpc,zAngularMomFracMedian,zAngularMomFrac16thPercentile,zAngularMomFrac84thPercentile,CircularityMedian,Circularity16thPercentile,Circularity84thPercentile
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,
40,0.8458612530579325,0.1334828742744916,-2.0479422044393987,-4.810134290525467,0.23695859153091475,2.0479422044393987,0.8291442909143704,4.810134290525467,0.845540613074841,0.7553963874982417,0.9584762694997442,0.9297364850542007,0.7848639884991372,1.1118661284493976
41,0.9080449696290195,0.13995994787469493,-1.8864319364880542,-8.904075373095832,2.432760130354983,3.3293645566119174,0.8254852232074467,9.182621491830751,0.7541047050291818,0.6287931179049394,0.9645192615892706,0.91881175413779,0.5444677074011689,1.1180529611039238
42,0.9678924784861273,0.14605760406878063,-0.520290180198741,-11.935443842208803,5.8375935722566235,5.322285383836768,0.7010700278681854,14.7016935190879,-0.46947378475206936,-0.8926175720651244,0.7963901686933329,-0.28210046823155943,-0.7451838358210405,0.6526007837608263
43,1.0390037466243902,0.15314484920464314,-1.4087130642302,-6.810673702490929,3.0495173275176093,3.3134634126375664,1.138393030212322,7.862075933805191,0.18438937975687936,-0.7299625698249874,0.8925011419498434,0.07490551420094482,-0.4047381754927367,0.7096125294267783
