,FractionOfStarsYoungerThan5Gyr,FractionOfStarsYoungerThan4Gyr,FractionOfStarsYoungerThan3Gyr,FractionOfStarsYoungerThan2Gyr,FractionOfStarsYoungerThan1Gyr
Au2,0.28608980322127,0.19605468976082907,0.12499027394325196,0.0629228918221015,0.0247181743300328
Au3,0.2963643816554271,0.21735053998514972,0.1448988617792632,0.09217187834288293,0.03998739705044236
Au4,0.5117233688235862,0.41245369154345013,0.32267652929559854,0.17855851027607755,0.08190969928356208
Au6,0.2541168746229156,0.17554895886674407,0.11195668155569188,0.06301999624816845,0.0285044134721173
Au7,0.5009772116581936,0.410118763400088,0.3001900588901684,0.1766523654373695,0.08157844844535572
Au8,0.22732845731623275,0.15183517272505334,0.10555384893956087,0.06732164686741876,0.03053261132966806
Au9,0.24959533643239382,0.16389242509483753,0.09225945319055381,0.056996599481953826,0.028145639202027128
Au10,0.4052580106010955,0.31788410837631614,0.23658343030206913,0.15567923295424857,0.07853330407367042
Au12,0.45232823170911535,0.3714072309489575,0.2710332910622168,0.16956395347087597,0.07290774524419845
Au13,0.4291158604913357,0.3320747692529983,0.21837211767292908,0.12981156869993318,0.053916463336499076
Au14,0.4347627118210143,0.3094961354425616,0.21769689529724706,0.1563379254021367,0.07278431186812118
Au15,0.4946996870475691,0.3841908886687999,0.26548358099205394,0.1699310589895102,0.08090233737996014
Au16,0.3152155768433719,0.22023633393778436,0.1397878371695259,0.08074595531777362,0.03301997912589829
Au17,0.23891846268191336,0.1666467275140524,0.10579353274369963,0.07087568048245842,0.02852068129729465
Au18,0.327270799370377,0.2451617463855022,0.1546594956915564,0.07061761056046806,0.02214380716610107
Au20,0.3132994538014181,0.24533606586582174,0.16782574958794272,0.10974315866151656,0.06057868809408498
Au21,0.3550162989397111,0.2616564297887429,0.18710725274222512,0.12581591920301044,0.06699882190119984
Au22,0.23654369850719903,0.1823682843566886,0.1065516106179167,0.05779237905001553,0.024954340141701517
Au23,0.3075878635521329,0.18497609822350924,0.1169844818046965,0.06293063212521431,0.024580663401903992
Au24,0.22264370663784935,0.16058781169897207,0.1100917829176383,0.06956742202886423,0.03159092639918098
Au25,0.27560798149823,0.19150311967027478,0.1286260773967984,0.08291494490908374,0.04089926612912676
Au26,0.3757695079233133,0.2825202314880073,0.16884746057445174,0.11451621614856757,0.05639029152049364
Au27,0.33361631152716104,0.2493512222486019,0.1631059097380698,0.09781958249045276,0.04294740200553773
