,MedianStellarAge_Gyr,MedianStellarAge_H_Gyr,MedianStellarAge_B_Gyr,MedianStellarAge_CD_Gyr,MedianStellarAge_WD_Gyr,MeanStellarAge_Gyr,MeanStellarAge_H_Gyr,MeanStellarAge_B_Gyr,MeanStellarAge_CD_Gyr,MeanStellarAge_WD_Gyr
Au2,7.061417508350183,10.269738530469498,10.039529654210888,5.330824582487809,7.731535397510047,6.942672924814259,9.918344300784941,9.480253107376786,5.4536270377129785,7.594354366517084
Au3,7.178100158779849,10.255084639373646,10.731252068477353,5.1168867792024315,8.736155532730244,7.056642691444423,10.470311924016574,10.59804151152397,5.067353911394431,8.542763656460078
Au4,4.90833510288031,5.868638893000758,5.509382779888046,1.2798918686792486,4.374175814040161,5.105598767700359,6.13071447468626,5.72762117275681,2.2825794922378972,4.803639706675826
Au6,7.196723800023073,9.477637589950339,10.130743311773804,5.364911865159785,7.790798680853025,7.026977706585878,9.707361045572119,9.77549123148651,5.328196655291141,7.839418628395656
Au7,4.990352205216388,5.723306962637283,7.854606354125762,2.360182120387747,4.458861504787494,5.299295451924981,6.083913218484462,7.045604562523868,3.246985655482113,4.98614814354184
Au8,7.696117432087789,9.563483622381705,9.658423663948767,6.514530380887253,7.623507380249688,7.335694048208996,9.207267404681268,9.112271147041321,6.228966818259446,7.362395889358017
Au9,7.5338104906308905,10.357039947528019,8.916718394115883,4.704376441801983,7.5501839592912,7.2421831915985795,10.285482478156862,8.6615793037904,4.891492294163274,7.505063311664657
Au10,5.920303521025225,8.964576414327372,6.578893995132532,4.07126750464816,5.9194221295208465,5.840645055823104,8.733301746278478,6.457622814580595,4.324185835332775,5.75746491451131
Au12,5.589786470572543,8.421728713419052,8.164855895690373,2.7827215898598574,5.615285873642691,5.725340893197377,8.271364432424472,7.935769299020247,3.399431720396772,5.82421475284396
Au13,5.815666161172722,8.104899124900664,5.654403036115234,4.269621752426545,5.210035697622409,5.826942399505033,8.190325413048155,5.738448050859125,4.594128095739336,5.3560512836377825
Au14,5.678002656158638,8.479083764632964,6.35229705274985,3.528870576509771,5.823839852738655,5.9607445542300495,8.504598371164953,7.063227658136211,3.7969254270746027,6.233310448418279
Au15,5.048026223882875,8.006349993953043,7.297740709580326,2.780340596253687,5.048026223882875,5.226242404340593,8.114482640759952,7.4231231903625305,3.110707900108904,5.416255389463368
Au16,6.820345280716859,9.820753456273252,10.387540682247568,4.972998446627495,7.808299670740832,6.680191832915116,9.811689117434794,10.21594417055498,5.16110171832055,7.729852695608504
Au17,7.979768001032832,10.58565047291394,8.045067586894483,7.120801903239565,8.090487765158466,7.472338704424335,9.98510856256801,7.838171089104892,6.5091546965291185,7.60516908554436
Au18,7.235166339544557,10.902489376173126,8.63502345239093,5.234047117764975,7.833706844366766,6.942765840349797,10.387737375916975,7.978984774891372,5.574108372113176,7.36502096240606
Au20,6.897437293813793,6.749928718548438,8.938139878455186,5.1690963150425056,6.888139520007685,6.720594817096135,7.156347032665446,8.125867716611639,5.130028741087581,6.862642228065744
Au21,6.1650088398996665,8.469098632951564,8.061572358875537,4.608227894386449,6.177282407231727,6.052683207592731,8.340144138108267,8.281455074597291,4.382707657269767,6.211589935464503
Au22,7.5039925684800135,10.161147145595777,7.859480155237275,5.564623389041387,7.547324853935583,7.112797670438329,9.585158195992852,7.915612062753907,5.493894263363301,7.155296405874271
Au23,6.9912334523287365,10.095307332118734,9.32526914702149,4.991177491194744,7.424985981714094,6.9563565634767475,9.432828782456543,8.336623220783205,5.367728728397372,7.412026413151231
Au24,7.8434773887422296,10.313455862984087,9.123992261271482,5.329217792205094,7.81040744627634,7.262491767159605,10.17394628893826,8.969239645633445,5.180229562055624,7.625164250992706
Au25,7.156430525456931,9.793752444690043,10.857735798447754,6.162775138529639,7.363897082202562,7.000880039599385,8.189834946575257,10.188917598950813,6.005435280901608,7.155950709664221
Au26,6.388657037379286,10.240566389030906,7.1098985120334195,4.839795937982531,5.9838449726117,6.2886216428132515,9.78352076305763,6.579245069210952,5.062514836596941,5.792213358976855
Au27,6.670484109559091,9.852255803359146,9.336667344326887,4.333485683788197,6.9815248688839775,6.581287406112118,9.51854985688742,9.121498980988433,4.5327403465821785,7.075340533941744
