,HToTotal,BToTotal,CDToTotal,WDToTotal
Au2,0.06376009,0.1511887,0.51626563,0.2687855
Au3,0.060871806,0.192859,0.5952678,0.15100119
Au4,0.3955551,0.23238473,0.19895016,0.17311008
Au6,0.08977842,0.15312423,0.52117914,0.2359183
Au7,0.27424482,0.20551103,0.26544514,0.25479925
Au8,0.049040493,0.1863779,0.40104535,0.36353624
Au9,0.13591835,0.26251447,0.37879217,0.22277524
Au10,0.12042954,0.25340164,0.33360428,0.29256484
Au12,0.17879014,0.17428957,0.4041128,0.24280733
Au13,0.19976221,0.24100134,0.25970596,0.29953054
Au14,0.21973224,0.15572593,0.39739713,0.22714475
Au15,0.10820258,0.2259569,0.43718538,0.22865526
Au16,0.06393616,0.10323509,0.56791663,0.26491183
Au17,0.06035395,0.28748578,0.31871614,0.33344382
Au18,0.0757943,0.19991758,0.4438768,0.2804113
Au20,0.1280768,0.25767872,0.30870816,0.30553633
Au21,0.13511083,0.14562744,0.4367408,0.28252053
Au22,0.10456313,0.2816345,0.31833926,0.29546326
Au23,0.10023336,0.21492563,0.4346415,0.25019965
Au24,0.13576548,0.2090153,0.41880256,0.23641638
Au25,0.04829986,0.11911092,0.5084878,0.3241014
Au26,0.13363422,0.24354301,0.33899534,0.2838274
Au27,0.13211523,0.17044711,0.48296627,0.2144718
